,time_step,outcome_type,stimulus,outcome,stage
0,38624,C1S9,0,3,stable
1,44137,C1S7,1,1,stable
2,54836,C1S7,1,1,stable
3,64424,C1S7,1,1,stable
4,71326,C1S7,1,1,stable
5,78138,C1S7,1,1,stable
6,85836,C1S7,1,1,stable
7,97570,C1S9,0,3,stable
8,105161,C1S9,0,3,stable
9,117972,C1S7,1,1,stable
10,125054,C1S7,1,1,stable
11,134391,C1S9,0,3,stable
12,142674,C1S9,0,3,stable
13,149145,C1S7,1,1,stable
14,156233,C1S7,1,1,stable
15,164311,C1S9,0,3,stable
16,169418,C1S7,1,1,stable
17,182448,C1S7,1,1,stable
18,190415,C1S9,0,3,stable
19,198132,C1S9,0,3,stable
20,204739,C1S7,1,1,stable
21,213876,C1S9,0,3,stable
22,219450,C1S7,1,1,stable
23,226528,C1S7,1,1,stable
24,235528,C1S9,0,3,stable
25,243765,C1S9,0,3,stable
26,252162,C1S9,0,3,stable
27,257633,C1S7,1,1,stable
28,265828,C1S9,0,3,stable
29,273477,C1S9,0,3,stable
30,282411,C1S9,0,3,stable
31,288452,C1S7,1,1,stable
32,295088,C1S7,1,1,stable
33,308933,C1S9,0,3,stable
34,314186,C1S7,1,1,stable
35,319769,C1S7,1,1,stable
36,330537,C1S9,0,3,stable
37,335941,C1S7,1,1,stable
38,345326,C1S9,0,3,stable
39,350949,C1S7,1,1,stable
40,359735,C1S9,0,3,stable
41,364888,C1S7,1,1,stable
42,372001,C1S7,1,1,stable
43,378086,C1S7,1,1,stable
44,387353,C1S9,0,3,stable
45,400760,C1S9,0,3,stable
46,406178,C1S7,1,1,stable
47,412468,C1S7,1,1,stable
48,419138,C1S7,1,1,stable
49,426826,C1S9,0,3,stable
50,440568,C1S10,0,4,stable
51,461023,C1S9,0,3,stable
52,468666,C1S9,0,3,stable
53,475067,C1S7,1,1,stable
54,484310,C1S9,0,3,stable
55,490381,C1S7,1,1,stable
56,496674,C1S7,1,1,stable
57,503052,C1S7,1,1,stable
58,510990,C1S9,0,3,stable
59,519207,C1S9,0,3,stable
60,527632,C1S9,0,3,stable
61,534077,C1S7,1,1,stable
62,543580,C1S9,0,3,stable
63,549813,C1S7,1,1,stable
64,556379,C1S7,1,1,stable
65,563457,C1S7,1,1,stable
66,572208,C1S9,0,3,stable
67,578843,C1S7,1,1,stable
68,35458,C1S7,1,1,uncertain
69,44116,C1S9,0,3,uncertain
70,52000,C1S9,0,3,uncertain
71,59043,C1S7,1,1,uncertain
72,66518,C1S7,1,1,uncertain
73,73312,C1S7,1,1,uncertain
74,79263,C1S11,1,5,uncertain
75,84776,C1S7,1,1,uncertain
76,90318,C1S11,1,5,uncertain
77,99849,C1S9,0,3,uncertain
78,105658,C1S11,1,5,uncertain
79,112149,C1S7,1,1,uncertain
80,120765,C1S8,1,2,uncertain
81,133351,C1S8,1,2,uncertain
82,138415,C1S7,1,1,uncertain
83,146912,C1S9,0,3,uncertain
84,152416,C1S7,1,1,uncertain
85,160422,C1S8,1,2,uncertain
86,174196,C1S9,0,3,uncertain
87,191997,C1S7,1,1,uncertain
88,199989,C1S9,0,3,uncertain
89,206559,C1S7,1,1,uncertain
90,216774,C1S7,1,1,uncertain
91,223132,C1S11,1,5,uncertain
92,231979,C1S9,0,3,uncertain
93,240565,C1S9,0,3,uncertain
94,260879,C1S9,0,3,uncertain
95,266851,C1S7,1,1,uncertain
96,275228,C1S9,0,3,uncertain
97,286647,C1S7,1,1,uncertain
98,295989,C1S8,1,2,uncertain
99,314093,C1S11,1,5,uncertain
100,320333,C1S7,1,1,uncertain
101,329546,C1S9,0,3,uncertain
102,335378,C1S7,1,1,uncertain
103,341976,C1S7,1,1,uncertain
104,356317,C1S7,1,1,uncertain
105,365613,C1S8,1,2,uncertain
106,373352,C1S8,1,2,uncertain
107,381765,C1S8,1,2,uncertain
108,393256,C1S7,1,1,uncertain
109,401396,C1S7,1,1,uncertain
110,409480,C1S8,1,2,uncertain
111,418420,C1S8,1,2,uncertain
112,424978,C1S7,1,1,uncertain
113,434174,C1S8,1,2,uncertain
114,441040,C1S7,1,1,uncertain
115,456022,C1S9,0,3,uncertain
116,463274,C1S9,0,3,uncertain
117,469627,C1S7,1,1,uncertain
118,477658,C1S8,1,2,uncertain
119,486302,C1S8,1,2,uncertain
120,498036,C1S8,1,2,uncertain
121,505562,C1S9,0,3,uncertain
122,523751,C1S7,1,1,uncertain
123,541464,C1S9,0,3,uncertain
124,547375,C1S7,1,1,uncertain
125,556220,C1S9,0,3,uncertain
126,565096,C1S9,0,3,uncertain
127,573287,C1S9,0,3,uncertain
128,581273,C1S9,0,3,uncertain
129,588268,C1S7,1,1,uncertain
130,596258,C1S11,1,5,uncertain
131,603181,C1S7,1,1,uncertain
132,610706,C1S7,1,1,uncertain
133,620016,C1S9,0,3,uncertain
134,627739,C1S9,0,3,uncertain
135,636721,C1S9,0,3,uncertain
136,643407,C1S7,1,1,uncertain
137,650490,C1S7,1,1,uncertain
138,659075,C1S9,0,3,uncertain
139,665335,C1S7,1,1,uncertain
140,672435,C1S7,1,1,uncertain
141,38623,C1S8,0,2,reverse
142,47524,C1S8,0,2,reverse
143,54346,C1S10,1,4,reverse
144,70325,C1S9,1,3,reverse
145,79054,C1S8,0,2,reverse
146,86181,C1S8,0,2,reverse
147,93366,C1S10,1,4,reverse
148,109663,C1S8,0,2,reverse
149,132547,C1S8,0,2,reverse
150,140588,C1S8,0,2,reverse
151,149568,C1S9,1,3,reverse
152,157182,C1S9,1,3,reverse
153,165218,C1S8,0,2,reverse
154,174083,C1S9,1,3,reverse
155,181446,C1S9,1,3,reverse
156,190039,C1S9,1,3,reverse
157,198965,C1S9,1,3,reverse
158,207297,C1S9,1,3,reverse
159,214630,C1S8,0,2,reverse
160,222002,C1S8,0,2,reverse
161,229812,C1S8,0,2,reverse
162,238249,C1S8,0,2,reverse
163,247107,C1S9,1,3,reverse
164,255376,C1S8,0,2,reverse
165,262712,C1S9,1,3,reverse
166,270129,C1S9,1,3,reverse
167,277491,C1S8,0,2,reverse
168,285687,C1S9,1,3,reverse
169,294214,C1S9,1,3,reverse
170,302304,C1S8,0,2,reverse
171,308875,C1S10,1,4,reverse
172,325381,C1S8,0,2,reverse
173,333090,C1S8,0,2,reverse
174,340626,C1S8,0,2,reverse
175,347912,C1S9,1,3,reverse
176,356847,C1S9,1,3,reverse
177,364583,C1S9,1,3,reverse
178,371783,C1S9,1,3,reverse
179,380376,C1S9,1,3,reverse
180,389092,C1S8,0,2,reverse
181,396425,C1S8,0,2,reverse
182,403783,C1S9,1,3,reverse
183,411132,C1S8,0,2,reverse
184,418238,C1S8,0,2,reverse
185,425828,C1S9,1,3,reverse
186,434643,C1S8,0,2,reverse
187,443355,C1S9,1,3,reverse
188,450651,C1S9,1,3,reverse
189,458809,C1S8,0,2,reverse
190,467679,C1S9,1,3,reverse
191,475178,C1S8,0,2,reverse
192,483311,C1S8,0,2,reverse
193,491649,C1S8,0,2,reverse
194,502361,C1S8,0,2,reverse
195,507595,C1S10,1,4,reverse
196,524101,C1S10,1,4,reverse
197,539996,C1S9,1,3,reverse
198,548422,C1S8,0,2,reverse
199,555519,C1S9,1,3,reverse
200,562872,C1S9,1,3,reverse
201,571453,C1S9,1,3,reverse
202,579278,C1S9,1,3,reverse
203,587151,C1S8,0,2,reverse
204,595352,C1S9,1,3,reverse
205,603274,C1S9,1,3,reverse
206,611609,C1S9,1,3,reverse
207,620491,C1S9,1,3,reverse
208,629278,C1S8,0,2,reverse
209,637906,C1S8,0,2,reverse
210,646261,C1S9,1,3,reverse
211,654238,C1S9,1,3,reverse
212,662700,C1S9,1,3,reverse
213,670538,C1S8,0,2,reverse
214,679082,C1S9,1,3,reverse
