,time_step,outcome_type,outcome,stimulus,stage
161,[966916],C1S13,5,1,uncertain
162,[977345],C1S9,3,0,uncertain
163,[987251],C1S6,1,1,uncertain
164,[1007182],C1S7,2,1,uncertain
165,[1015627],C1S6,1,1,uncertain
166,[1026509],C1S9,3,0,uncertain
167,[1036195],C1S7,2,1,uncertain
168,[1045596],C1S7,2,1,uncertain
169,[1054572],C1S9,3,0,uncertain
170,[1065087],C1S9,3,0,uncertain
171,[1073979],C1S9,3,0,uncertain
172,[1084868],C1S9,3,0,uncertain
173,[1094480],C1S9,3,0,uncertain
174,[1104742],C1S9,3,0,uncertain
175,[1113694],C1S9,3,0,uncertain
176,[1123256],C1S9,3,0,uncertain
177,[1134203],C1S9,3,0,uncertain
178,[1142637],C1S6,1,1,uncertain
179,[1154740],C1S9,3,0,uncertain
180,[1164248],C1S9,3,0,uncertain
181,[1179024],C1S13,5,1,uncertain
182,[1190590],C1S9,3,0,uncertain
183,[1201069],C1S9,3,0,uncertain
184,[1210986],C1S9,3,0,uncertain
185,[1218655],C1S13,5,1,uncertain
186,[1228899],C1S9,3,0,uncertain
187,[1237267],C1S13,5,1,uncertain
188,[1249253],C1S9,3,0,uncertain
189,[1258568],C1S9,3,0,uncertain
190,[1269596],C1S7,2,1,uncertain
191,[1278709],C1S9,3,0,uncertain
192,[1289533],C1S7,2,1,uncertain
193,[1299772],C1S7,2,1,uncertain
194,[1309413],C1S9,3,0,uncertain
195,[1318083],C1S9,3,0,uncertain
196,[1326755],C1S9,3,0,uncertain
197,[1336381],C1S7,2,1,uncertain
198,[1348737],C1S7,2,1,uncertain
199,[1356769],C1S13,5,1,uncertain
200,[6226],C1S10,4,1,reverse
201,[14795],C1S8,2,0,reverse
202,[23882],C1S10,4,1,reverse
203,[33846],C1S8,2,0,reverse
204,[42713],C1S8,2,0,reverse
205,[49648],C1S10,4,1,reverse
206,[56997],C1S8,2,0,reverse
207,[64944],C1S8,2,0,reverse
208,[71797],C1S10,4,1,reverse
209,[77666],C1S10,4,1,reverse
210,[84252],C1S10,4,1,reverse
211,[92444],C1S8,2,0,reverse
212,[101299],C1S8,2,0,reverse
213,[106855],C1S10,4,1,reverse
214,[115466],C1S9,3,1,reverse
215,[123576],C1S9,3,1,reverse
216,[132364],C1S8,2,0,reverse
217,[140297],C1S8,2,0,reverse
218,[149195],C1S8,2,0,reverse
219,[155203],C1S10,4,1,reverse
220,[160533],C1S10,4,1,reverse
221,[169032],C1S8,2,0,reverse
222,[174504],C1S10,4,1,reverse
223,[182223],C1S9,3,1,reverse
224,[188900],C1S10,4,1,reverse
225,[196498],C1S8,2,0,reverse
226,[204303],C1S9,3,1,reverse
227,[213566],C1S8,2,0,reverse
228,[220919],C1S8,2,0,reverse
229,[229764],C1S8,2,0,reverse
230,[238361],C1S10,4,1,reverse
231,[245643],C1S9,3,1,reverse
232,[253875],C1S8,2,0,reverse
233,[262564],C1S9,3,1,reverse
234,[270543],C1S8,2,0,reverse
235,[277882],C1S9,3,1,reverse
236,[285858],C1S9,3,1,reverse
237,[291121],C1S10,4,1,reverse
238,[299608],C1S8,2,0,reverse
239,[306934],C1S9,3,1,reverse
240,[315875],C1S8,2,0,reverse
241,[323656],C1S9,3,1,reverse
242,[331738],C1S9,3,1,reverse
243,[340335],C1S9,3,1,reverse
244,[349253],C1S8,2,0,reverse
245,[356343],C1S8,2,0,reverse
246,[364301],C1S8,2,0,reverse
247,[371623],C1S9,3,1,reverse
248,[384006],C1S8,2,0,reverse
249,[391412],C1S9,3,1,reverse
250,[400069],C1S8,2,0,reverse
251,[408825],C1S8,2,0,reverse
252,[416665],C1S9,3,1,reverse
253,[425124],C1S8,2,0,reverse
254,[433268],C1S8,2,0,reverse
255,[439619],C1S10,4,1,reverse
256,[448267],C1S8,2,0,reverse
257,[457098],C1S8,2,0,reverse
258,[466035],C1S8,2,0,reverse
259,[472357],C1S10,4,1,reverse
260,[482800],C1S8,2,0,reverse
261,[491753],C1S9,3,1,reverse
262,[499839],C1S8,2,0,reverse
263,[507324],C1S8,2,0,reverse
264,[516022],C1S9,3,1,reverse
265,[524411],C1S9,3,1,reverse
266,[531727],C1S8,2,0,reverse
267,[539523],C1S8,2,0,reverse
268,[547737],C1S9,3,1,reverse
269,[555907],C1S9,3,1,reverse
270,[564507],C1S9,3,1,reverse
271,[572484],C1S8,2,0,reverse
272,[579719],C1S9,3,1,reverse
273,[588097],C1S9,3,1,reverse
274,[596701],C1S8,2,0,reverse
275,[604181],C1S8,2,0,reverse
276,[611468],C1S8,2,0,reverse
277,[621898],C1S9,3,1,reverse
278,[633847],C1S9,3,1,reverse
279,[642051],C1S8,2,0,reverse
