,time_step,outcome_type,outcome,stimulus,stage
0,[331842],C1S7,1,1,stable
1,[337429],C1S7,1,1,stable
2,[345859],C1S9,3,0,stable
3,[352678],C1S7,1,1,stable
4,[360491],C1S9,3,0,stable
5,[369312],C1S9,3,0,stable
6,[375153],C1S7,1,1,stable
7,[383285],C1S9,3,0,stable
8,[392059],C1S9,3,0,stable
9,[398100],C1S7,1,1,stable
10,[404156],C1S7,1,1,stable
11,[413326],C1S9,3,0,stable
12,[419722],C1S7,1,1,stable
13,[427170],C1S7,1,1,stable
14,[434738],C1S9,3,0,stable
15,[443316],C1S9,3,0,stable
16,[449822],C1S7,1,1,stable
17,[458793],C1S9,3,0,stable
18,[465247],C1S7,1,1,stable
19,[474322],C1S9,3,0,stable
20,[482214],C1S9,3,0,stable
21,[489805],C1S9,3,0,stable
22,[495602],C1S7,1,1,stable
23,[501476],C1S7,1,1,stable
24,[510430],C1S9,3,0,stable
25,[516120],C1S10,4,0,stable
26,[523428],C1S7,1,1,stable
27,[535281],C1S7,1,1,stable
28,[544268],C1S9,3,0,stable
29,[549739],C1S7,1,1,stable
30,[558145],C1S9,3,0,stable
31,[564356],C1S7,1,1,stable
32,[572444],C1S9,3,0,stable
33,[580362],C1S9,3,0,stable
34,[586919],C1S7,1,1,stable
35,[594561],C1S9,3,0,stable
36,[600286],C1S7,1,1,stable
37,[607433],C1S7,1,1,stable
38,[616235],C1S9,3,0,stable
39,[624639],C1S9,3,0,stable
40,[633296],C1S9,3,0,stable
41,[640299],C1S7,1,1,stable
42,[649472],C1S9,3,0,stable
43,[655945],C1S7,1,1,stable
44,[664917],C1S9,3,0,stable
45,[671038],C1S7,1,1,stable
46,[679955],C1S9,3,0,stable
47,[688616],C1S9,3,0,stable
48,[695443],C1S7,1,1,stable
49,[702569],C1S7,1,1,stable
50,[712390],C1S9,3,0,stable
51,[720693],C1S9,3,0,stable
52,[727861],C1S9,3,0,stable
53,[734813],C1S7,1,1,stable
54,[747999],C1S9,3,0,stable
55,[754407],C1S7,1,1,stable
56,[762350],C1S9,3,0,stable
57,[769223],C1S7,1,1,stable
58,[777132],C1S9,3,0,stable
59,[785195],C1S9,3,0,stable
60,[791865],C1S7,1,1,stable
61,[800725],C1S9,3,0,stable
62,[806062],C1S7,1,1,stable
63,[813280],C1S7,1,1,stable
64,[819622],C1S7,1,1,stable
65,[827995],C1S9,3,0,stable
66,[834187],C1S7,1,1,stable
67,[843224],C1S9,3,0,stable
68,[850235],C1S7,1,1,stable
69,[858549],C1S9,3,0,stable
70,[867202],C1S9,3,0,stable
71,[874865],C1S9,3,0,stable
72,[880654],C1S7,1,1,stable
73,[886761],C1S7,1,1,stable
74,[894594],C1S9,3,0,stable
75,[901655],C1S7,1,1,stable
76,[909450],C1S7,1,1,stable
77,[68260],C1S13,5,1,uncertain
78,[77617],C1S6,1,1,uncertain
79,[88002],C1S9,3,0,uncertain
80,[97665],C1S13,5,1,uncertain
81,[108621],C1S9,3,0,uncertain
82,[126583],C1S9,3,0,uncertain
83,[141759],C1S13,5,1,uncertain
84,[152207],C1S13,5,1,uncertain
85,[160196],C1S6,1,1,uncertain
86,[172207],C1S9,3,0,uncertain
87,[180731],C1S9,3,0,uncertain
88,[187626],C1S6,1,1,uncertain
89,[195673],C1S13,5,1,uncertain
90,[206522],C1S9,3,0,uncertain
91,[222544],C1S7,2,1,uncertain
92,[231907],C1S13,5,1,uncertain
93,[240520],C1S13,5,1,uncertain
94,[249929],C1S7,2,1,uncertain
95,[268672],C1S9,3,0,uncertain
96,[278596],C1S6,1,1,uncertain
97,[289127],C1S9,3,0,uncertain
98,[298387],C1S7,2,1,uncertain
99,[308502],C1S10,4,0,uncertain
100,[328983],C1S9,3,0,uncertain
101,[339909],C1S7,2,1,uncertain
102,[350161],C1S9,3,0,uncertain
103,[359000],C1S6,1,1,uncertain
104,[370894],C1S9,3,0,uncertain
105,[380206],C1S9,3,0,uncertain
106,[389185],C1S7,2,1,uncertain
107,[398634],C1S6,1,1,uncertain
108,[408552],C1S9,3,0,uncertain
109,[416594],C1S6,1,1,uncertain
110,[428400],C1S9,3,0,uncertain
111,[439123],C1S7,2,1,uncertain
112,[446217],C1S6,1,1,uncertain
113,[455679],C1S9,3,0,uncertain
114,[467186],C1S7,2,1,uncertain
115,[483927],C1S6,1,1,uncertain
116,[495856],C1S9,3,0,uncertain
117,[512601],C1S7,2,1,uncertain
118,[520990],C1S13,5,1,uncertain
119,[531536],C1S7,2,1,uncertain
120,[540689],C1S6,1,1,uncertain
121,[550797],C1S7,2,1,uncertain
122,[558547],C1S6,1,1,uncertain
123,[570254],C1S9,3,0,uncertain
124,[580259],C1S9,3,0,uncertain
125,[590643],C1S9,3,0,uncertain
126,[599410],C1S9,3,0,uncertain
127,[608561],C1S9,3,0,uncertain
128,[631901],C1S9,3,0,uncertain
129,[641712],C1S9,3,0,uncertain
130,[652957],C1S9,3,0,uncertain
131,[662025],C1S9,3,0,uncertain
132,[670529],C1S6,1,1,uncertain
133,[680096],C1S9,3,0,uncertain
134,[688334],C1S6,1,1,uncertain
135,[697776],C1S6,1,1,uncertain
136,[709114],C1S9,3,0,uncertain
137,[718561],C1S6,1,1,uncertain
138,[727913],C1S9,3,0,uncertain
139,[738795],C1S9,3,0,uncertain
140,[748254],C1S9,3,0,uncertain
141,[763085],C1S6,1,1,uncertain
142,[771248],C1S6,1,1,uncertain
143,[781259],C1S6,1,1,uncertain
144,[791162],C1S9,3,0,uncertain
145,[797950],C1S6,1,1,uncertain
146,[807320],C1S9,3,0,uncertain
147,[818405],C1S9,3,0,uncertain
148,[828166],C1S9,3,0,uncertain
149,[837942],C1S9,3,0,uncertain
150,[857648],C1S9,3,0,uncertain
151,[868558],C1S9,3,0,uncertain
152,[878341],C1S9,3,0,uncertain
153,[886339],C1S6,1,1,uncertain
154,[895839],C1S7,2,1,uncertain
155,[903482],C1S13,5,1,uncertain
156,[913718],C1S6,1,1,uncertain
157,[923105],C1S6,1,1,uncertain
158,[938313],C1S6,1,1,uncertain
159,[949319],C1S9,3,0,uncertain
160,[958093],C1S6,1,1,uncertain
