,time_step,outcome_type,stimulus,outcome,stage
0,70627,C1S9,0,3,stable
1,77856,C1S9,0,3,stable
2,85035,C1S9,0,3,stable
3,93999,C1S9,0,3,stable
4,102741,C1S9,0,3,stable
5,108131,C1S7,1,1,stable
6,120492,C1S7,1,1,stable
7,129328,C1S9,0,3,stable
8,137223,C1S9,0,3,stable
9,143258,C1S7,1,1,stable
10,150547,C1S7,1,1,stable
11,162322,C1S7,1,1,stable
12,171387,C1S9,0,3,stable
13,179903,C1S9,0,3,stable
14,187737,C1S9,0,3,stable
15,196057,C1S9,0,3,stable
16,205014,C1S9,0,3,stable
17,214010,C1S9,0,3,stable
18,239709,C1S9,0,3,stable
19,247442,C1S10,0,4,stable
20,260750,C1S7,1,1,stable
21,268330,C1S7,1,1,stable
22,279024,C1S7,1,1,stable
23,285834,C1S10,0,4,stable
24,302514,C1S9,0,3,stable
25,308530,C1S7,1,1,stable
26,315471,C1S7,1,1,stable
27,324650,C1S9,0,3,stable
28,334859,C1S7,1,1,stable
29,344034,C1S9,0,3,stable
30,350091,C1S7,1,1,stable
31,363924,C1S9,0,3,stable
32,375546,C1S7,1,1,stable
33,383389,C1S9,0,3,stable
34,389835,C1S7,1,1,stable
35,399194,C1S9,0,3,stable
36,405846,C1S7,1,1,stable
37,412239,C1S7,1,1,stable
38,421767,C1S9,0,3,stable
39,427118,C1S7,1,1,stable
40,434572,C1S7,1,1,stable
41,443264,C1S9,0,3,stable
42,449682,C1S10,0,4,stable
43,465300,C1S7,1,1,stable
44,471149,C1S7,1,1,stable
45,478108,C1S7,1,1,stable
46,487166,C1S9,0,3,stable
47,494593,C1S9,0,3,stable
48,502683,C1S10,0,4,stable
49,524164,C1S9,0,3,stable
50,530826,C1S7,1,1,stable
51,539508,C1S9,0,3,stable
52,547509,C1S9,0,3,stable
53,562218,C1S9,0,3,stable
54,567428,C1S7,1,1,stable
55,576487,C1S9,0,3,stable
56,583290,C1S7,1,1,stable
57,592488,C1S9,0,3,stable
58,599588,C1S9,0,3,stable
59,607837,C1S9,0,3,stable
60,616657,C1S9,0,3,stable
61,623625,C1S7,1,1,stable
62,634979,C1S9,0,3,stable
63,643402,C1S9,0,3,stable
64,650724,C1S9,0,3,stable
65,656519,C1S7,1,1,stable
66,664968,C1S9,0,3,stable
67,67084,C1S8,1,2,uncertain
68,73002,C1S7,1,1,uncertain
69,82175,C1S9,0,3,uncertain
70,87958,C1S7,1,1,uncertain
71,97184,C1S9,0,3,uncertain
72,103450,C1S7,1,1,uncertain
73,113663,C1S7,1,1,uncertain
74,121463,C1S10,0,4,uncertain
75,142871,C1S10,0,4,uncertain
76,158847,C1S8,1,2,uncertain
77,165862,C1S7,1,1,uncertain
78,175645,C1S8,1,2,uncertain
79,182037,C1S7,1,1,uncertain
80,190420,C1S9,0,3,uncertain
81,198854,C1S9,0,3,uncertain
82,209594,C1S9,0,3,uncertain
83,216721,C1S7,1,1,uncertain
84,225259,C1S9,0,3,uncertain
85,231423,C1S7,1,1,uncertain
86,238898,C1S11,1,5,uncertain
87,248788,C1S11,1,5,uncertain
88,256503,C1S7,1,1,uncertain
89,262702,C1S7,1,1,uncertain
90,268912,C1S7,1,1,uncertain
91,274936,C1S7,1,1,uncertain
92,281836,C1S11,1,5,uncertain
93,294773,C1S11,1,5,uncertain
94,301338,C1S7,1,1,uncertain
95,309707,C1S9,0,3,uncertain
96,326256,C1S7,1,1,uncertain
97,333634,C1S7,1,1,uncertain
98,340274,C1S7,1,1,uncertain
99,347158,C1S7,1,1,uncertain
100,354691,C1S7,1,1,uncertain
101,361436,C1S7,1,1,uncertain
102,370233,C1S9,0,3,uncertain
103,378541,C1S9,0,3,uncertain
104,391500,C1S9,0,3,uncertain
105,397756,C1S10,0,4,uncertain
106,427212,C1S7,1,1,uncertain
107,435462,C1S9,0,3,uncertain
108,445281,C1S11,1,5,uncertain
109,458408,C1S9,0,3,uncertain
110,466563,C1S9,0,3,uncertain
111,473387,C1S7,1,1,uncertain
112,479879,C1S7,1,1,uncertain
113,488434,C1S9,0,3,uncertain
114,496414,C1S9,0,3,uncertain
115,502730,C1S7,1,1,uncertain
116,509230,C1S7,1,1,uncertain
117,520276,C1S7,1,1,uncertain
118,526160,C1S7,1,1,uncertain
119,532831,C1S7,1,1,uncertain
120,540696,C1S9,0,3,uncertain
121,546907,C1S7,1,1,uncertain
122,554836,C1S9,0,3,uncertain
123,560065,C1S7,1,1,uncertain
124,566140,C1S7,1,1,uncertain
125,574409,C1S9,0,3,uncertain
126,583349,C1S9,0,3,uncertain
127,591081,C1S9,0,3,uncertain
128,597148,C1S7,1,1,uncertain
129,611412,C1S9,0,3,uncertain
130,619969,C1S9,0,3,uncertain
131,634571,C1S7,1,1,uncertain
132,642129,C1S11,1,5,uncertain
133,650929,C1S9,0,3,uncertain
134,657688,C1S7,1,1,uncertain
135,666466,C1S9,0,3,uncertain
136,673988,C1S9,0,3,uncertain
137,679334,C1S7,1,1,uncertain
138,688443,C1S9,0,3,uncertain
139,693877,C1S7,1,1,uncertain
140,68798,C1S9,1,3,reverse
141,77224,C1S8,0,2,reverse
142,85487,C1S8,0,2,reverse
143,94320,C1S8,0,2,reverse
144,102685,C1S8,0,2,reverse
145,111485,C1S8,0,2,reverse
146,119319,C1S8,0,2,reverse
147,125961,C1S10,1,4,reverse
148,142074,C1S8,0,2,reverse
149,149638,C1S8,0,2,reverse
150,158282,C1S8,0,2,reverse
151,165218,C1S10,1,4,reverse
152,182115,C1S9,1,3,reverse
153,191062,C1S9,1,3,reverse
154,198687,C1S8,0,2,reverse
155,204650,C1S10,1,4,reverse
156,231111,C1S7,0,1,reverse
157,241711,C1S8,0,2,reverse
158,249932,C1S8,0,2,reverse
159,256084,C1S10,1,4,reverse
160,271547,C1S9,1,3,reverse
161,280507,C1S9,1,3,reverse
162,289082,C1S8,0,2,reverse
