,time_step,outcome_type,stimulus,outcome,stage
0,43738,C1S10,0,4,stable
1,77315,C1S10,0,4,stable
2,101627,C1S7,1,1,stable
3,110092,C1S7,1,1,stable
4,118607,C1S10,0,4,stable
5,150670,C1S7,1,1,stable
6,165992,C1S9,0,3,stable
7,171099,C1S7,1,1,stable
8,184539,C1S9,0,3,stable
9,191647,C1S9,0,3,stable
10,214266,C1S9,0,3,stable
11,222323,C1S9,0,3,stable
12,230579,C1S9,0,3,stable
13,238718,C1S10,0,4,stable
14,255022,C1S9,0,3,stable
15,260752,C1S7,1,1,stable
16,268562,C1S7,1,1,stable
17,279579,C1S7,1,1,stable
18,287189,C1S9,0,3,stable
19,296957,C1S7,1,1,stable
20,307478,C1S7,1,1,stable
21,315734,C1S9,0,3,stable
22,322508,C1S7,1,1,stable
23,328207,C1S7,1,1,stable
24,340662,C1S7,1,1,stable
25,348552,C1S9,0,3,stable
26,358110,C1S8,1,2,stable
27,364602,C1S7,1,1,stable
28,374172,C1S9,0,3,stable
29,382305,C1S7,1,1,stable
30,388338,C1S7,1,1,stable
31,394463,C1S7,1,1,stable
32,404353,C1S7,1,1,stable
33,412243,C1S7,1,1,stable
34,423205,C1S9,0,3,stable
35,429090,C1S7,1,1,stable
36,436692,C1S7,1,1,stable
37,454040,C1S9,0,3,stable
38,464481,C1S10,0,4,stable
39,514741,C1S7,1,1,stable
40,530990,C1S9,0,3,stable
41,541424,C1S9,0,3,stable
42,550315,C1S9,0,3,stable
43,555379,C1S7,1,1,stable
44,566744,C1S9,0,3,stable
45,574093,C1S9,0,3,stable
46,583945,C1S9,0,3,stable
47,592433,C1S9,0,3,stable
48,598830,C1S7,1,1,stable
49,607110,C1S9,0,3,stable
50,612591,C1S7,1,1,stable
51,623803,C1S7,1,1,stable
52,630529,C1S7,1,1,stable
53,640530,C1S9,0,3,stable
54,648580,C1S9,0,3,stable
55,655237,C1S7,1,1,stable
56,667030,C1S9,0,3,stable
57,36261,C1S7,1,1,uncertain
58,44983,C1S9,0,3,uncertain
59,50883,C1S7,1,1,uncertain
60,60288,C1S9,0,3,uncertain
61,68449,C1S9,0,3,uncertain
62,73788,C1S7,1,1,uncertain
63,89502,C1S7,1,1,uncertain
64,95911,C1S7,1,1,uncertain
65,102287,C1S11,1,5,uncertain
66,109917,C1S7,1,1,uncertain
67,125021,C1S8,1,2,uncertain
68,130060,C1S7,1,1,uncertain
69,138650,C1S9,0,3,uncertain
70,145506,C1S11,1,5,uncertain
71,153095,C1S7,1,1,uncertain
72,166898,C1S9,0,3,uncertain
73,172611,C1S7,1,1,uncertain
74,181239,C1S9,0,3,uncertain
75,190084,C1S9,0,3,uncertain
76,197559,C1S9,0,3,uncertain
77,202854,C1S11,1,5,uncertain
78,214071,C1S9,0,3,uncertain
79,222239,C1S9,0,3,uncertain
80,240978,C1S10,0,4,uncertain
81,254627,C1S7,1,1,uncertain
82,261783,C1S7,1,1,uncertain
83,269057,C1S7,1,1,uncertain
84,277162,C1S7,1,1,uncertain
85,290217,C1S9,0,3,uncertain
86,298023,C1S8,1,2,uncertain
87,304338,C1S11,1,5,uncertain
88,311677,C1S7,1,1,uncertain
89,321164,C1S9,0,3,uncertain
90,330140,C1S9,0,3,uncertain
91,336403,C1S11,1,5,uncertain
92,344029,C1S9,0,3,uncertain
93,351067,C1S9,0,3,uncertain
94,370148,C1S10,0,4,uncertain
95,387684,C1S9,0,3,uncertain
96,392712,C1S7,1,1,uncertain
97,410409,C1S10,0,4,uncertain
98,437370,C1S9,0,3,uncertain
99,443796,C1S7,1,1,uncertain
100,462991,C1S11,1,5,uncertain
101,473645,C1S8,1,2,uncertain
102,481027,C1S7,1,1,uncertain
103,497986,C1S11,1,5,uncertain
104,517021,C1S7,1,1,uncertain
105,523874,C1S7,1,1,uncertain
106,533092,C1S7,1,1,uncertain
107,544371,C1S11,1,5,uncertain
108,552584,C1S9,0,3,uncertain
109,558016,C1S7,1,1,uncertain
110,565983,C1S9,0,3,uncertain
111,572634,C1S7,1,1,uncertain
112,578524,C1S7,1,1,uncertain
113,587185,C1S9,0,3,uncertain
114,599310,C1S8,1,2,uncertain
115,614242,C1S7,1,1,uncertain
116,620520,C1S7,1,1,uncertain
117,627640,C1S7,1,1,uncertain
118,636313,C1S9,0,3,uncertain
119,645118,C1S9,0,3,uncertain
120,650680,C1S7,1,1,uncertain
121,656646,C1S11,1,5,uncertain
122,664724,C1S9,0,3,uncertain
123,37417,C1S8,0,2,reverse
124,42727,C1S10,1,4,reverse
125,58247,C1S10,1,4,reverse
126,73580,C1S9,1,3,reverse
127,79300,C1S10,1,4,reverse
128,95557,C1S8,0,2,reverse
129,101312,C1S10,1,4,reverse
130,118190,C1S9,1,3,reverse
131,126192,C1S8,0,2,reverse
132,133213,C1S9,1,3,reverse
133,141022,C1S9,1,3,reverse
134,154624,C1S10,1,4,reverse
135,171028,C1S9,1,3,reverse
136,179939,C1S8,0,2,reverse
137,187764,C1S8,0,2,reverse
138,196399,C1S8,0,2,reverse
139,204277,C1S8,0,2,reverse
140,212339,C1S8,0,2,reverse
141,219617,C1S8,0,2,reverse
142,227527,C1S9,1,3,reverse
143,236208,C1S9,1,3,reverse
144,243858,C1S8,0,2,reverse
145,252125,C1S9,1,3,reverse
146,260464,C1S8,0,2,reverse
147,267478,C1S9,1,3,reverse
148,274590,C1S9,1,3,reverse
149,281649,C1S9,1,3,reverse
150,289868,C1S8,0,2,reverse
151,297697,C1S8,0,2,reverse
152,305402,C1S8,0,2,reverse
153,313958,C1S9,1,3,reverse
154,322810,C1S8,0,2,reverse
155,328501,C1S10,1,4,reverse
156,344863,C1S8,0,2,reverse
157,352221,C1S8,0,2,reverse
158,360760,C1S8,0,2,reverse
159,368883,C1S8,0,2,reverse
160,376565,C1S9,1,3,reverse
161,385185,C1S8,0,2,reverse
162,393755,C1S8,0,2,reverse
163,401079,C1S9,1,3,reverse
164,409980,C1S9,1,3,reverse
165,418132,C1S9,1,3,reverse
166,426857,C1S8,0,2,reverse
167,434097,C1S8,0,2,reverse
168,442325,C1S8,0,2,reverse
169,450895,C1S8,0,2,reverse
170,457994,C1S9,1,3,reverse
171,466279,C1S9,1,3,reverse
172,474946,C1S9,1,3,reverse
173,483658,C1S9,1,3,reverse
174,491511,C1S8,0,2,reverse
175,499749,C1S9,1,3,reverse
176,508096,C1S8,0,2,reverse
177,516985,C1S9,1,3,reverse
178,525286,C1S8,0,2,reverse
179,534185,C1S8,0,2,reverse
180,543145,C1S8,0,2,reverse
181,551003,C1S9,1,3,reverse
182,558446,C1S8,0,2,reverse
183,566872,C1S9,1,3,reverse
184,573880,C1S9,1,3,reverse
185,581511,C1S9,1,3,reverse
186,590159,C1S8,0,2,reverse
187,598376,C1S8,0,2,reverse
188,606932,C1S8,0,2,reverse
189,615718,C1S8,0,2,reverse
190,624171,C1S8,0,2,reverse
191,632500,C1S8,0,2,reverse
192,639594,C1S8,0,2,reverse
193,655756,C1S9,1,3,reverse
