,time_step,outcome_type,stimulus,outcome,stage
143,659028,C1S7,1,1,uncertain
144,668296,C1S9,0,3,uncertain
145,674555,C1S7,1,1,uncertain
146,682893,C1S9,0,3,uncertain
147,688636,C1S7,1,1,uncertain
148,695374,C1S11,1,5,uncertain
149,701807,C1S7,1,1,uncertain
150,67768,C1S8,0,2,reverse
151,76630,C1S8,0,2,reverse
152,82111,C1S10,1,4,reverse
153,97091,C1S10,1,4,reverse
154,113217,C1S8,0,2,reverse
155,121149,C1S9,1,3,reverse
156,129485,C1S9,1,3,reverse
157,138218,C1S8,0,2,reverse
158,146344,C1S9,1,3,reverse
159,152389,C1S10,1,4,reverse
160,168401,C1S9,1,3,reverse
161,177364,C1S8,0,2,reverse
162,184610,C1S9,1,3,reverse
163,193523,C1S9,1,3,reverse
164,201417,C1S8,0,2,reverse
165,209404,C1S8,0,2,reverse
166,218243,C1S9,1,3,reverse
167,225709,C1S8,0,2,reverse
168,234521,C1S9,1,3,reverse
169,242653,C1S8,0,2,reverse
170,249944,C1S8,0,2,reverse
171,257247,C1S9,1,3,reverse
172,265759,C1S8,0,2,reverse
173,275620,C1S8,0,2,reverse
174,283470,C1S9,1,3,reverse
175,291942,C1S9,1,3,reverse
176,300325,C1S8,0,2,reverse
177,305798,C1S7,0,1,reverse
178,327074,C1S8,0,2,reverse
179,335885,C1S8,0,2,reverse
180,341391,C1S10,1,4,reverse
181,387500,C1S9,1,3,reverse
182,394980,C1S8,0,2,reverse
183,403830,C1S8,0,2,reverse
184,412075,C1S8,0,2,reverse
185,420759,C1S9,1,3,reverse
186,429160,C1S8,0,2,reverse
187,436560,C1S9,1,3,reverse
188,444326,C1S9,1,3,reverse
189,451364,C1S9,1,3,reverse
190,458893,C1S9,1,3,reverse
191,466568,C1S9,1,3,reverse
192,473694,C1S8,0,2,reverse
193,482513,C1S8,0,2,reverse
194,490051,C1S8,0,2,reverse
195,498499,C1S8,0,2,reverse
196,505594,C1S8,0,2,reverse
197,514340,C1S8,0,2,reverse
198,522337,C1S8,0,2,reverse
199,530639,C1S8,0,2,reverse
200,536171,C1S10,1,4,reverse
201,551927,C1S9,1,3,reverse
202,559489,C1S9,1,3,reverse
203,568223,C1S8,0,2,reverse
204,576262,C1S8,0,2,reverse
205,583748,C1S8,0,2,reverse
206,591430,C1S8,0,2,reverse
207,598668,C1S9,1,3,reverse
208,607033,C1S9,1,3,reverse
209,614152,C1S8,0,2,reverse
210,622000,C1S9,1,3,reverse
211,630751,C1S9,1,3,reverse
212,638685,C1S9,1,3,reverse
213,646004,C1S8,0,2,reverse
214,653528,C1S9,1,3,reverse
215,661279,C1S8,0,2,reverse
216,669066,C1S9,1,3,reverse
217,676159,C1S9,1,3,reverse
218,684084,C1S9,1,3,reverse
219,698649,C1S8,0,2,reverse
220,714127,C1S9,1,3,reverse
221,725892,C1S8,0,2,reverse
222,734751,C1S9,1,3,reverse
223,743247,C1S10,1,4,reverse
224,776406,C1S8,0,2,reverse
225,784144,C1S8,0,2,reverse
226,792247,C1S9,1,3,reverse
227,800153,C1S8,0,2,reverse
228,808742,C1S9,1,3,reverse
229,815804,C1S9,1,3,reverse
230,823795,C1S9,1,3,reverse
231,832317,C1S9,1,3,reverse
232,840899,C1S9,1,3,reverse
233,848831,C1S8,0,2,reverse
234,857266,C1S8,0,2,reverse
235,865499,C1S8,0,2,reverse
236,874005,C1S8,0,2,reverse
237,882232,C1S8,0,2,reverse
238,889430,C1S9,1,3,reverse
239,898338,C1S9,1,3,reverse
240,903795,C1S10,1,4,reverse
241,919964,C1S9,1,3,reverse
242,928045,C1S8,0,2,reverse
243,935696,C1S8,0,2,reverse
244,944233,C1S8,0,2,reverse
245,951378,C1S8,0,2,reverse
246,958434,C1S8,0,2,reverse
247,966047,C1S8,0,2,reverse
248,973847,C1S9,1,3,reverse
249,982384,C1S9,1,3,reverse
250,989809,C1S9,1,3,reverse
251,997750,C1S9,1,3,reverse
252,1005531,C1S9,1,3,reverse
253,1013762,C1S9,1,3,reverse
