,time_step,outcome_type,stimulus,outcome,stage
0,67016,C1S9,0,3,stable
1,73592,C1S7,1,1,stable
2,82367,C1S7,1,1,stable
3,93326,C1S9,0,3,stable
4,99639,C1S7,1,1,stable
5,107715,C1S9,0,3,stable
6,115523,C1S9,0,3,stable
7,124164,C1S9,0,3,stable
8,132379,C1S9,0,3,stable
9,140128,C1S9,0,3,stable
10,145802,C1S7,1,1,stable
11,154695,C1S9,0,3,stable
12,161326,C1S7,1,1,stable
13,169953,C1S9,0,3,stable
14,177146,C1S9,0,3,stable
15,201650,C1S7,1,1,stable
16,208940,C1S7,1,1,stable
17,216757,C1S10,0,4,stable
18,234039,C1S7,1,1,stable
19,240929,C1S7,1,1,stable
20,250748,C1S9,0,3,stable
21,259450,C1S9,0,3,stable
22,266914,C1S9,0,3,stable
23,274062,C1S9,0,3,stable
24,280739,C1S7,1,1,stable
25,288616,C1S7,1,1,stable
26,298033,C1S9,0,3,stable
27,304244,C1S7,1,1,stable
28,313158,C1S9,0,3,stable
29,320918,C1S9,0,3,stable
30,328856,C1S9,0,3,stable
31,335541,C1S7,1,1,stable
32,342849,C1S7,1,1,stable
33,349360,C1S7,1,1,stable
34,357928,C1S9,0,3,stable
35,366114,C1S9,0,3,stable
36,374084,C1S9,0,3,stable
37,382639,C1S9,0,3,stable
38,388358,C1S7,1,1,stable
39,395261,C1S7,1,1,stable
40,402198,C1S7,1,1,stable
41,415287,C1S9,0,3,stable
42,422100,C1S7,1,1,stable
43,452227,C1S9,0,3,stable
44,459603,C1S8,1,2,stable
45,468239,C1S9,0,3,stable
46,477124,C1S9,0,3,stable
47,484658,C1S8,1,2,stable
48,490040,C1S7,1,1,stable
49,498484,C1S9,0,3,stable
50,505706,C1S9,0,3,stable
51,514060,C1S9,0,3,stable
52,521685,C1S9,0,3,stable
53,528563,C1S7,1,1,stable
54,538168,C1S9,0,3,stable
55,546921,C1S9,0,3,stable
56,552953,C1S7,1,1,stable
57,562823,C1S9,0,3,stable
58,569187,C1S7,1,1,stable
59,576975,C1S7,1,1,stable
60,583270,C1S7,1,1,stable
61,590251,C1S7,1,1,stable
62,596414,C1S7,1,1,stable
63,603341,C1S7,1,1,stable
64,610808,C1S7,1,1,stable
65,617963,C1S7,1,1,stable
66,626655,C1S9,0,3,stable
67,635024,C1S9,0,3,stable
68,642068,C1S9,0,3,stable
69,649122,C1S9,0,3,stable
70,654463,C1S7,1,1,stable
71,660584,C1S7,1,1,stable
72,669589,C1S9,0,3,stable
73,67014,C1S11,1,5,uncertain
74,72715,C1S7,1,1,uncertain
75,90393,C1S7,1,1,uncertain
76,96736,C1S7,1,1,uncertain
77,103020,C1S7,1,1,uncertain
78,111690,C1S9,0,3,uncertain
79,118454,C1S7,1,1,uncertain
80,126345,C1S7,1,1,uncertain
81,134088,C1S7,1,1,uncertain
82,141444,C1S7,1,1,uncertain
83,148738,C1S11,1,5,uncertain
84,157781,C1S9,0,3,uncertain
85,170827,C1S7,1,1,uncertain
86,179173,C1S9,0,3,uncertain
87,186671,C1S8,1,2,uncertain
88,193887,C1S9,0,3,uncertain
89,199029,C1S7,1,1,uncertain
90,206444,C1S7,1,1,uncertain
91,213188,C1S11,1,5,uncertain
92,219055,C1S7,1,1,uncertain
93,226050,C1S7,1,1,uncertain
94,233600,C1S7,1,1,uncertain
95,242777,C1S9,0,3,uncertain
96,254476,C1S7,1,1,uncertain
97,262522,C1S9,0,3,uncertain
98,270780,C1S9,0,3,uncertain
99,277415,C1S11,1,5,uncertain
100,283624,C1S7,1,1,uncertain
101,290765,C1S7,1,1,uncertain
102,297717,C1S7,1,1,uncertain
103,303573,C1S7,1,1,uncertain
104,310925,C1S7,1,1,uncertain
105,325992,C1S9,0,3,uncertain
106,333495,C1S9,0,3,uncertain
107,338874,C1S11,1,5,uncertain
108,346410,C1S7,1,1,uncertain
109,353063,C1S7,1,1,uncertain
110,359237,C1S7,1,1,uncertain
111,367378,C1S9,0,3,uncertain
112,374390,C1S9,0,3,uncertain
113,384134,C1S7,1,1,uncertain
114,391618,C1S7,1,1,uncertain
115,399322,C1S7,1,1,uncertain
116,406187,C1S7,1,1,uncertain
117,413756,C1S7,1,1,uncertain
118,421632,C1S9,0,3,uncertain
119,427845,C1S10,0,4,uncertain
120,444387,C1S9,0,3,uncertain
121,453358,C1S7,1,1,uncertain
122,463039,C1S10,0,4,uncertain
123,491075,C1S7,1,1,uncertain
124,503861,C1S7,1,1,uncertain
125,509741,C1S7,1,1,uncertain
126,517055,C1S7,1,1,uncertain
127,524013,C1S7,1,1,uncertain
128,531093,C1S7,1,1,uncertain
129,538991,C1S9,0,3,uncertain
130,546127,C1S9,0,3,uncertain
131,559281,C1S9,0,3,uncertain
132,567559,C1S9,0,3,uncertain
133,576426,C1S8,1,2,uncertain
134,582520,C1S11,1,5,uncertain
135,591445,C1S8,1,2,uncertain
136,599787,C1S8,1,2,uncertain
137,608738,C1S8,1,2,uncertain
138,617732,C1S8,1,2,uncertain
139,626078,C1S8,1,2,uncertain
140,633244,C1S8,1,2,uncertain
141,645604,C1S7,1,1,uncertain
142,652920,C1S7,1,1,uncertain
