,time_step,outcome_type,outcome,stimulus,stage
0,[330049],C1S7,1,1,stable
1,[335767],C1S7,1,1,stable
2,[344659],C1S9,3,0,stable
3,[351097],C1S7,1,1,stable
4,[359915],C1S9,3,0,stable
5,[367797],C1S9,3,0,stable
6,[372821],C1S7,1,1,stable
7,[380841],C1S9,3,0,stable
8,[388159],C1S9,3,0,stable
9,[394524],C1S7,1,1,stable
10,[404004],C1S8,2,1,stable
11,[412603],C1S9,3,0,stable
12,[418551],C1S7,1,1,stable
13,[427682],C1S8,2,1,stable
14,[434963],C1S9,3,0,stable
15,[443816],C1S9,3,0,stable
16,[452073],C1S8,2,1,stable
17,[459277],C1S9,3,0,stable
18,[467047],C1S8,2,1,stable
19,[475376],C1S9,3,0,stable
20,[484217],C1S9,3,0,stable
21,[492665],C1S9,3,0,stable
22,[499492],C1S7,1,1,stable
23,[507793],C1S8,2,1,stable
24,[516254],C1S9,3,0,stable
25,[525063],C1S9,3,0,stable
26,[531697],C1S7,1,1,stable
27,[537176],C1S7,1,1,stable
28,[546986],C1S9,3,0,stable
29,[553563],C1S7,1,1,stable
30,[562270],C1S9,3,0,stable
31,[567899],C1S7,1,1,stable
32,[575360],C1S9,3,0,stable
33,[583097],C1S9,3,0,stable
34,[588222],C1S7,1,1,stable
35,[596185],C1S9,3,0,stable
36,[601430],C1S7,1,1,stable
37,[607702],C1S7,1,1,stable
38,[617054],C1S9,3,0,stable
39,[625689],C1S9,3,0,stable
40,[633773],C1S9,3,0,stable
41,[642716],C1S7,1,1,stable
42,[651764],C1S9,3,0,stable
43,[656984],C1S7,1,1,stable
44,[666065],C1S9,3,0,stable
45,[671734],C1S7,1,1,stable
46,[678400],C1S10,4,0,stable
47,[692114],C1S9,3,0,stable
48,[698942],C1S7,1,1,stable
49,[705434],C1S7,1,1,stable
50,[714609],C1S9,3,0,stable
51,[723444],C1S9,3,0,stable
52,[732418],C1S9,3,0,stable
53,[738099],C1S7,1,1,stable
54,[747154],C1S9,3,0,stable
55,[753774],C1S7,1,1,stable
56,[761636],C1S9,3,0,stable
57,[767886],C1S7,1,1,stable
58,[777286],C1S9,3,0,stable
59,[785091],C1S9,3,0,stable
60,[790975],C1S7,1,1,stable
61,[799040],C1S9,3,0,stable
62,[804613],C1S7,1,1,stable
63,[811975],C1S7,1,1,stable
64,[818165],C1S7,1,1,stable
65,[826330],C1S9,3,0,stable
66,[833029],C1S7,1,1,stable
67,[841444],C1S9,3,0,stable
68,[847729],C1S7,1,1,stable
69,[856028],C1S9,3,0,stable
70,[863697],C1S9,3,0,stable
71,[872452],C1S9,3,0,stable
72,[879387],C1S7,1,1,stable
73,[886514],C1S7,1,1,stable
74,[894359],C1S9,3,0,stable
75,[899948],C1S7,1,1,stable
76,[906279],C1S7,1,1,stable
77,[79427],C1S9,3,0,uncertain
78,[98652],C1S9,3,0,uncertain
79,[108962],C1S6,1,1,uncertain
80,[118439],C1S6,1,1,uncertain
81,[127167],C1S6,1,1,uncertain
82,[146215],C1S9,3,0,uncertain
83,[155742],C1S6,1,1,uncertain
84,[174940],C1S7,2,1,uncertain
85,[185661],C1S9,3,0,uncertain
86,[203484],C1S6,1,1,uncertain
87,[212935],C1S6,1,1,uncertain
88,[222052],C1S6,1,1,uncertain
89,[231347],C1S13,5,1,uncertain
90,[241981],C1S9,3,0,uncertain
91,[251853],C1S6,1,1,uncertain
92,[264360],C1S9,3,0,uncertain
93,[275959],C1S9,3,0,uncertain
94,[286728],C1S9,3,0,uncertain
95,[297347],C1S9,3,0,uncertain
96,[308215],C1S9,3,0,uncertain
97,[320410],C1S7,2,1,uncertain
98,[331651],C1S7,2,1,uncertain
99,[343456],C1S9,3,0,uncertain
100,[353886],C1S6,1,1,uncertain
101,[364554],C1S9,3,0,uncertain
102,[375662],C1S7,2,1,uncertain
103,[384572],C1S6,1,1,uncertain
104,[402994],C1S6,1,1,uncertain
105,[414749],C1S7,2,1,uncertain
106,[425580],C1S7,2,1,uncertain
107,[435938],C1S6,1,1,uncertain
108,[454271],C1S9,3,0,uncertain
109,[466508],C1S9,3,0,uncertain
110,[485305],C1S9,3,0,uncertain
111,[494128],C1S6,1,1,uncertain
112,[506405],C1S7,2,1,uncertain
113,[518185],C1S9,3,0,uncertain
114,[529467],C1S9,3,0,uncertain
115,[549236],C1S7,2,1,uncertain
116,[567649],C1S9,3,0,uncertain
117,[579311],C1S9,3,0,uncertain
118,[590455],C1S9,3,0,uncertain
119,[602645],C1S10,4,0,uncertain
120,[636882],C1S6,1,1,uncertain
121,[656222],C1S9,3,0,uncertain
122,[668111],C1S9,3,0,uncertain
123,[680409],C1S9,3,0,uncertain
124,[692735],C1S9,3,0,uncertain
125,[711652],C1S9,3,0,uncertain
126,[721278],C1S13,5,1,uncertain
127,[731476],C1S6,1,1,uncertain
128,[741269],C1S6,1,1,uncertain
129,[753346],C1S9,3,0,uncertain
130,[765389],C1S9,3,0,uncertain
131,[776222],C1S9,3,0,uncertain
132,[794589],C1S9,3,0,uncertain
133,[806683],C1S9,3,0,uncertain
134,[816696],C1S6,1,1,uncertain
135,[825666],C1S6,1,1,uncertain
136,[837702],C1S9,3,0,uncertain
137,[846305],C1S6,1,1,uncertain
138,[856062],C1S6,1,1,uncertain
139,[868086],C1S9,3,0,uncertain
140,[880201],C1S9,3,0,uncertain
141,[890756],C1S13,5,1,uncertain
142,[902002],C1S7,2,1,uncertain
143,[912113],C1S13,5,1,uncertain
144,[923349],C1S9,3,0,uncertain
145,[935586],C1S9,3,0,uncertain
146,[946659],C1S9,3,0,uncertain
147,[958736],C1S9,3,0,uncertain
148,[970728],C1S7,2,1,uncertain
149,[981720],C1S7,2,1,uncertain
150,[992048],C1S6,1,1,uncertain
151,[1003854],C1S7,2,1,uncertain
152,[1015656],C1S9,3,0,uncertain
153,[1028134],C1S7,2,1,uncertain
154,[1040384],C1S7,2,1,uncertain
155,[1051758],C1S7,2,1,uncertain
156,[1063106],C1S7,2,1,uncertain
157,[1074285],C1S7,2,1,uncertain
158,[1093435],C1S6,1,1,uncertain
159,[1113380],C1S9,3,0,uncertain
160,[1124974],C1S9,3,0,uncertain
161,[1134781],C1S6,1,1,uncertain
162,[1143493],C1S13,5,1,uncertain
163,[1164249],C1S9,3,0,uncertain
164,[1175221],C1S7,2,1,uncertain
165,[1186588],C1S9,3,0,uncertain
166,[1197923],C1S9,3,0,uncertain
167,[1209316],C1S9,3,0,uncertain
168,[11103],C1S10,4,1,reverse
169,[18931],C1S8,2,0,reverse
170,[25515],C1S10,4,1,reverse
171,[33555],C1S8,2,0,reverse
172,[41222],C1S8,2,0,reverse
173,[46272],C1S10,4,1,reverse
174,[53849],C1S8,2,0,reverse
175,[61963],C1S8,2,0,reverse
176,[68947],C1S10,4,1,reverse
177,[75717],C1S10,4,1,reverse
178,[83074],C1S10,4,1,reverse
179,[91659],C1S8,2,0,reverse
180,[100256],C1S8,2,0,reverse
181,[105788],C1S10,4,1,reverse
182,[111306],C1S10,4,1,reverse
183,[116593],C1S10,4,1,reverse
184,[124038],C1S8,2,0,reverse
185,[132784],C1S8,2,0,reverse
186,[140211],C1S8,2,0,reverse
187,[151392],C1S9,3,1,reverse
188,[156487],C1S10,4,1,reverse
189,[163685],C1S8,2,0,reverse
190,[171093],C1S9,3,1,reverse
191,[179478],C1S9,3,1,reverse
192,[188169],C1S9,3,1,reverse
193,[196793],C1S8,2,0,reverse
194,[204286],C1S9,3,1,reverse
195,[212944],C1S8,2,0,reverse
196,[221912],C1S8,2,0,reverse
197,[229812],C1S8,2,0,reverse
198,[237590],C1S9,3,1,reverse
199,[245456],C1S9,3,1,reverse
200,[252899],C1S8,2,0,reverse
201,[260352],C1S9,3,1,reverse
202,[269059],C1S8,2,0,reverse
203,[276864],C1S9,3,1,reverse
204,[284660],C1S9,3,1,reverse
205,[308895],C1S10,4,1,reverse
206,[316643],C1S8,2,0,reverse
207,[324597],C1S9,3,1,reverse
208,[332798],C1S8,2,0,reverse
209,[341194],C1S9,3,1,reverse
210,[350048],C1S9,3,1,reverse
211,[358307],C1S9,3,1,reverse
212,[365623],C1S8,2,0,reverse
213,[372755],C1S8,2,0,reverse
214,[380740],C1S8,2,0,reverse
215,[387886],C1S9,3,1,reverse
216,[396402],C1S8,2,0,reverse
217,[404353],C1S9,3,1,reverse
218,[411896],C1S8,2,0,reverse
219,[419448],C1S8,2,0,reverse
220,[424822],C1S10,4,1,reverse
221,[432033],C1S8,2,0,reverse
222,[439560],C1S8,2,0,reverse
223,[446649],C1S9,3,1,reverse
224,[454053],C1S8,2,0,reverse
225,[461239],C1S8,2,0,reverse
226,[468356],C1S8,2,0,reverse
227,[476614],C1S9,3,1,reverse
228,[483645],C1S8,2,0,reverse
229,[491702],C1S9,3,1,reverse
230,[499687],C1S8,2,0,reverse
231,[507527],C1S8,2,0,reverse
232,[515885],C1S9,3,1,reverse
233,[524141],C1S9,3,1,reverse
234,[533145],C1S8,2,0,reverse
235,[541438],C1S8,2,0,reverse
236,[549003],C1S9,3,1,reverse
237,[557172],C1S9,3,1,reverse
238,[564472],C1S9,3,1,reverse
239,[572484],C1S8,2,0,reverse
240,[581210],C1S9,3,1,reverse
241,[589257],C1S9,3,1,reverse
242,[597743],C1S8,2,0,reverse
243,[605100],C1S8,2,0,reverse
244,[612131],C1S8,2,0,reverse
245,[619923],C1S9,3,1,reverse
246,[628797],C1S9,3,1,reverse
247,[637727],C1S8,2,0,reverse
