,start_time,end_time,choice_type,reward_type,outcome
0,3.139,6.474,2.0,0.0,3
1,33.85,34.501,2.0,0.0,3
2,40.198,43.78,1.0,1.0,2
3,50.261,50.56,2.0,1.0,4
4,57.471,59.21,1.0,1.0,2
5,65.758,66.39,2.0,1.0,4
6,73.058,74.526,1.0,1.0,2
7,81.59,81.591,1.0,1.0,2
8,88.254,94.687,2.0,0.0,3
9,98.97,98.972,2.0,0.0,3
10,125.697,125.715,2.0,0.0,3
11,131.86,133.408,1.0,1.0,2
12,141.263,146.054,2.0,1.0,4
13,152.868,154.554,1.0,1.0,2
14,162.617,162.671,1.0,1.0,2
15,169.386,171.09,2.0,1.0,4
16,177.457,177.558,1.0,1.0,2
17,184.711,185.851,1.0,1.0,2
18,193.546,193.871,2.0,0.0,3
19,199.192,200.687,2.0,0.0,3
20,206.822,211.322,1.0,1.0,2
21,219.369,219.439,1.0,1.0,2
22,226.284,228.96,2.0,0.0,3
23,234.841,235.487,1.0,1.0,2
24,241.959,242.002,2.0,0.0,3
25,246.704,247.776,2.0,1.0,4
26,254.415,256.505,1.0,1.0,2
27,263.498,265.508,2.0,0.0,3
28,269.97,271.407,1.0,1.0,2
29,277.69,278.539,1.0,1.0,2
30,286.435,290.314,2.0,0.0,3
31,294.953,298.247,1.0,0.0,1
32,302.654,303.944,1.0,1.0,2
33,310.654,310.655,1.0,1.0,2
34,317.147,317.78,2.0,0.0,3
35,321.997,321.999,2.0,0.0,3
36,327.973,334.974,2.0,1.0,4
37,342.822,343.0,2.0,0.0,3
38,360.207,363.352,1.0,1.0,2
39,370.325,372.01,1.0,1.0,2
40,379.265,379.456,1.0,1.0,2
41,387.487,387.511,1.0,1.0,2
42,394.75,395.276,1.0,1.0,2
43,402.332,402.373,1.0,1.0,2
44,409.698,410.968,1.0,1.0,2
45,417.623,417.818,2.0,0.0,3
46,423.922,424.112,1.0,0.0,1
47,428.498,429.651,1.0,1.0,2
48,437.197,437.32,1.0,1.0,2
49,443.813,444.993,1.0,1.0,2
50,451.518,452.441,1.0,1.0,2
51,458.678,462.183,2.0,0.0,3
52,478.704,483.136,1.0,1.0,2
53,490.389,491.978,2.0,1.0,4
54,498.54,499.293,2.0,0.0,3
55,504.236,507.462,1.0,0.0,1
56,511.753,512.157,2.0,0.0,3
57,516.964,523.082,1.0,1.0,2
58,530.484,530.74,1.0,1.0,2
59,538.37,538.732,1.0,1.0,2
60,546.125,546.597,1.0,1.0,2
