,start_time,end_time,choice_type,reward_type,outcome
0,2.852,5.912,2.0,1.0,4
1,13.666,19.768,1.0,1.0,2
2,25.914,32.442,2.0,1.0,4
3,40.178,48.093,2.0,1.0,4
4,54.985,59.021,1.0,0.0,1
5,64.473,64.999,1.0,0.0,1
6,69.515,70.293,1.0,0.0,1
7,75.693,78.67,2.0,1.0,4
8,85.409,87.035,1.0,1.0,2
9,106.759,107.466,2.0,1.0,4
10,114.983,114.985,2.0,1.0,4
11,123.263,125.133,1.0,0.0,1
12,129.873,130.602,1.0,0.0,1
13,135.422,137.068,2.0,1.0,4
14,143.995,150.289,1.0,1.0,2
15,157.144,158.018,1.0,0.0,1
16,164.07,166.063,1.0,0.0,1
17,182.331,183.013,2.0,1.0,4
18,190.929,198.57,1.0,0.0,1
19,204.364,207.084,2.0,1.0,4
20,214.69,215.551,2.0,1.0,4
21,222.476,224.05,2.0,1.0,4
22,231.116,231.298,1.0,1.0,2
23,248.468,248.825,1.0,0.0,1
24,254.038,255.419,2.0,0.0,3
25,261.423,261.739,1.0,1.0,2
26,267.964,275.049,1.0,0.0,1
27,280.579,281.36,2.0,1.0,4
28,289.05,290.589,2.0,1.0,4
29,298.611,302.675,2.0,1.0,4
30,322.05,328.315,1.0,0.0,1
31,332.944,336.9,2.0,1.0,4
32,343.154,346.092,2.0,0.0,3
33,351.983,352.012,1.0,0.0,1
34,357.424,359.058,2.0,1.0,4
35,365.333,366.952,2.0,1.0,4
36,373.391,377.739,1.0,0.0,1
37,383.621,387.937,2.0,1.0,4
38,395.29,397.074,1.0,1.0,2
39,403.975,404.437,2.0,1.0,4
40,411.761,414.897,1.0,0.0,1
41,419.171,420.053,2.0,1.0,4
42,427.058,431.182,2.0,1.0,4
43,438.291,443.708,2.0,1.0,4
44,450.763,453.189,2.0,1.0,4
45,460.7,461.814,2.0,1.0,4
46,468.323,468.726,2.0,1.0,4
47,474.856,478.363,1.0,1.0,2
48,485.972,486.408,1.0,0.0,1
49,492.001,496.474,2.0,1.0,4
50,504.022,504.314,1.0,0.0,1
51,509.701,510.323,1.0,0.0,1
52,515.205,518.514,2.0,1.0,4
53,524.808,532.235,1.0,1.0,2
54,538.977,541.924,2.0,1.0,4
55,548.252,548.297,2.0,1.0,4
56,555.003,555.833,1.0,0.0,1
57,583.838,585.422,2.0,1.0,4
58,593.413,594.569,1.0,0.0,1
59,599.389,604.523,1.0,0.0,1
60,610.307,612.346,1.0,1.0,2
61,630.364,631.524,1.0,0.0,1
62,637.118,638.724,2.0,1.0,4
63,645.229,651.715,2.0,0.0,3
64,656.173,656.307,2.0,1.0,4
65,663.899,666.092,1.0,0.0,1
66,672.013,672.654,2.0,1.0,4
