,start_time,end_time,choice_type,reward_type,outcome
0,2.19,2.191,1.0,0.0,1
1,7.46,7.464,2.0,1.0,4
2,14.158,15.626,1.0,0.0,1
3,21.488,21.579,1.0,1.0,2
4,28.384,28.63,2.0,1.0,4
5,35.699,35.7,1.0,0.0,1
6,41.762,42.426,2.0,1.0,4
7,48.811,54.152,1.0,1.0,2
8,60.302,60.383,2.0,1.0,4
9,77.203,78.08,2.0,1.0,4
10,95.847,97.028,1.0,0.0,1
11,102.485,103.108,1.0,0.0,1
12,107.847,109.653,2.0,1.0,4
13,116.525,118.126,1.0,0.0,1
14,123.52,123.773,2.0,1.0,4
15,130.124,130.125,1.0,0.0,1
16,135.151,135.676,1.0,1.0,2
17,143.281,143.359,1.0,0.0,1
18,148.845,149.76,2.0,1.0,4
19,155.949,160.464,1.0,0.0,1
20,166.496,167.345,1.0,0.0,1
21,172.277,172.721,2.0,1.0,4
22,179.02,181.141,1.0,0.0,1
23,187.034,191.708,2.0,1.0,4
24,199.597,201.494,2.0,1.0,4
25,209.192,210.903,1.0,1.0,2
26,217.476,219.856,2.0,1.0,4
27,227.623,227.714,2.0,1.0,4
28,234.851,234.888,2.0,1.0,4
29,242.78,243.593,1.0,0.0,1
30,259.129,260.815,2.0,1.0,4
31,267.026,269.808,1.0,0.0,1
32,275.122,279.961,2.0,0.0,3
33,284.371,289.57,1.0,1.0,2
34,295.936,298.032,2.0,1.0,4
35,304.417,305.437,1.0,0.0,1
36,309.934,316.303,2.0,1.0,4
37,324.03,326.397,1.0,0.0,1
38,330.707,333.398,2.0,1.0,4
39,340.195,340.771,2.0,1.0,4
40,347.982,349.121,2.0,1.0,4
41,355.853,356.714,1.0,1.0,2
42,364.507,366.114,2.0,1.0,4
43,372.596,372.7,2.0,1.0,4
44,380.202,381.798,2.0,0.0,3
45,386.131,387.667,2.0,1.0,4
46,395.65,395.786,2.0,1.0,4
47,403.667,403.669,2.0,0.0,3
48,409.282,412.88,1.0,0.0,1
49,417.837,419.926,1.0,0.0,1
50,424.478,432.442,2.0,1.0,4
51,440.239,445.617,2.0,1.0,4
52,451.961,455.858,2.0,1.0,4
53,463.486,465.546,2.0,1.0,4
54,473.622,474.255,2.0,1.0,4
55,482.296,482.484,1.0,0.0,1
56,488.514,492.557,1.0,0.0,1
57,497.083,503.91,2.0,1.0,4
58,511.989,513.94,2.0,1.0,4
59,520.366,525.697,2.0,0.0,3
60,530.021,533.575,2.0,1.0,4
61,539.954,547.341,2.0,1.0,4
62,554.638,555.773,2.0,1.0,4
63,563.424,569.637,2.0,1.0,4
64,576.213,583.75,1.0,1.0,2
65,590.183,595.929,2.0,0.0,3
66,600.973,601.82,1.0,0.0,1
67,607.82,608.461,1.0,1.0,2
68,614.929,616.739,2.0,1.0,4
69,623.769,625.286,2.0,1.0,4
70,642.688,647.633,2.0,1.0,4
71,654.016,658.602,1.0,0.0,1
72,664.632,669.752,2.0,1.0,4
73,676.999,679.446,1.0,1.0,2
74,686.484,686.844,2.0,1.0,4
75,694.418,700.803,1.0,0.0,1
76,706.428,712.446,1.0,1.0,2
77,719.026,724.624,2.0,1.0,4
78,732.722,733.693,2.0,1.0,4
79,741.92,744.688,2.0,1.0,4
80,751.785,755.715,2.0,1.0,4
81,763.075,767.852,2.0,0.0,3
82,783.342,784.002,2.0,1.0,4
83,790.62,792.42,2.0,1.0,4
84,821.412,821.414,2.0,0.0,3
85,825.932,828.895,1.0,1.0,2
86,835.456,837.605,2.0,1.0,4
87,844.587,851.665,2.0,1.0,4
88,859.07,863.343,2.0,1.0,4
89,880.667,880.938,1.0,0.0,1
90,897.327,904.333,1.0,0.0,1
91,921.302,922.461,2.0,1.0,4
92,985.46,988.509,2.0,1.0,4
93,1004.706,1005.606,2.0,1.0,4
94,1024.644,1025.582,1.0,0.0,1
95,1042.215,1042.366,2.0,1.0,4
96,1049.809,1055.72,2.0,1.0,4
97,1085.341,1089.642,1.0,0.0,1
98,1165.437,1169.208,1.0,1.0,2
99,1208.35,1212.191,1.0,0.0,1
