,start_time,end_time,choice_type,reward_type,outcome
100,1283.502,1286.127,2.0,0.0,3
101,1303.405,1308.058,1.0,1.0,2
102,1317.026,1318.703,1.0,0.0,1
103,1336.018,1336.942,1.0,1.0,2
104,1343.509,1344.21,1.0,0.0,1
105,1349.275,1353.939,2.0,1.0,4
106,1361.677,1362.81,2.0,1.0,4
107,1369.935,1375.173,2.0,0.0,3
108,1380.391,1385.285,2.0,1.0,4
109,1403.314,1405.443,2.0,1.0,4
110,1411.587,1415.866,1.0,0.0,1
111,1420.502,1421.206,1.0,0.0,1
112,1448.595,1450.525,1.0,1.0,2
113,1458.59,1458.825,1.0,0.0,1
114,1463.333,1465.604,2.0,1.0,4
115,1473.665,1476.988,2.0,1.0,4
116,1484.204,1487.476,2.0,1.0,4
117,1495.481,1498.307,1.0,1.0,2
118,1516.117,1518.709,2.0,1.0,4
119,1548.611,1551.624,2.0,0.0,3
120,1556.524,1562.881,2.0,1.0,4
121,1574.175,1578.218,2.0,1.0,4
122,1609.479,1610.452,2.0,1.0,4
123,1662.608,1668.978,2.0,1.0,4
124,1675.646,1677.099,2.0,1.0,4
125,1695.782,1696.017,2.0,1.0,4
126,1713.492,1715.713,2.0,1.0,4
127,1746.019,1751.032,2.0,0.0,3
128,1755.405,1758.272,2.0,1.0,4
129,1764.764,1768.707,2.0,1.0,4
130,1787.574,1789.784,1.0,0.0,1
131,1794.196,1797.669,2.0,1.0,4
132,1804.764,1806.018,2.0,1.0,4
133,1813.694,1817.664,2.0,1.0,4
134,1835.082,1842.199,2.0,1.0,4
135,1849.529,1851.805,2.0,1.0,4
136,1871.16,1874.054,2.0,1.0,4
137,1882.384,1882.901,1.0,0.0,1
138,1887.942,1891.097,2.0,1.0,4
139,1897.465,1903.557,2.0,1.0,4
140,1911.003,1911.84,2.0,1.0,4
141,1918.115,1918.689,2.0,1.0,4
142,1926.047,1926.387,2.0,1.0,4
143,1934.41,1936.433,2.0,1.0,4
