,time_step,outcome_type,stimulus,outcome,stage,exp_outcome,Q_lick,Q_nolick,Q_lick_ql,Q_nolick_ql,alpha,Q_PE,P_lick,P_nolick,P_lick_ql,P_nolick_ql,motivation
0,46364,C1S8,1,2,stable,2,0.98,0.028,0.98,0.028,0.1,0.0,0.922384856859664,0.07761514314033612,0.922384856859664,0.07761514314033606,0.0
1,68304,C1S7,1,1,stable,1,0.98,0.03558592,0.98,0.1252,0.10536000000000001,0.07200000000000001,0.9209610232537762,0.07903897674622386,0.9022501371732556,0.0977498628267444,1.0
2,76312,C1S7,1,1,stable,1,0.98151632,0.03558592,1.072,0.1252,0.07581600000000002,0.020000000000000018,0.9212475241911001,0.07875247580889985,0.921411401871588,0.07858859812841193,1.0
3,83647,C1S7,1,1,stable,1,0.9825723724583237,0.03558592,1.1548,0.1252,0.057134318400000016,0.018483680000000002,0.9214464985376983,0.07855350146230167,0.9356533390616789,0.064346660938321,1.0
4,139211,C1S7,1,1,stable,1,0.9833611468179682,0.03558592,1.22932,0.1252,0.04525999639125605,0.01742762754167626,0.9215948140071483,0.07840518599285168,0.9463794901678261,0.05362050983217389,1.0
5,162128,C1S7,1,1,stable,1,0.9839874078831365,0.03558592,1.2963879999999999,0.1252,0.037638475339433694,0.016638853182031843,0.9217123891314307,0.07828761086856921,0.9545700217901217,0.04542997820987822,1.0
6,169171,C1S7,1,1,stable,1,0.9845105555722128,0.03558592,1.3567491999999999,0.1252,0.032671018237284195,0.016012592116863456,0.9218104819050081,0.0781895180949919,0.9609105201423065,0.03908947985769351,1.0
7,175715,C1S7,1,1,stable,1,0.9849653405449135,0.03558592,1.4110742799999998,0.1252,0.029360960931876463,0.015489444427787213,0.9218956649233689,0.07810433507663095,0.965883863784679,0.03411613621532092,1.0
8,181868,C1S7,1,1,stable,1,0.9853726055947506,0.03558592,1.4599668519999998,0.1252,0.027088412015830392,0.01503465945508653,0.9219718751736518,0.07802812482634812,0.9698335422779637,0.030166457722036296,1.0
9,188076,C1S7,1,1,stable,1,0.9857451405468357,0.03558592,1.5039701667999998,0.1252,0.025468305684805362,0.014627394405249405,0.9220415268727103,0.07795847312728962,0.9730067040095682,0.02699329599043172,1.0
10,212575,C1S7,1,1,stable,1,0.9860909854590225,0.03558592,1.5435731501199998,0.1252,0.02426154486637672,0.014254859453164292,0.9221061374665628,0.07789386253343716,0.9755833468359617,0.02441665316403823,1.0
11,227264,C1S7,1,1,stable,1,0.986415338199088,0.03558592,1.579215835108,0.1252,0.023319606080641847,0.013909014540977482,0.9221666883491522,0.0778333116508477,0.9776961836667399,0.022303816333260038,1.0
12,251002,C1S7,1,1,stable,1,0.986721673689084,0.03558592,1.6112942515972,0.1252,0.02255010058295967,0.013584661800912001,0.9222238361567711,0.07777616384322883,0.9794442589057036,0.02055574109429631,1.0
13,259016,C1S8,1,2,stable,2,0.9870124080336748,0.03558592,1.64016482643748,0.1252,0.02189540592565286,0.013278326310915967,0.9222780379853717,0.0777219620146282,0.9809023673512709,0.019097632648729105,0.0
14,282371,C1S7,1,1,stable,1,0.9870124080336748,0.03904612288977172,1.64016482643748,0.21268,0.05371811395539172,0.06441408000000001,0.9216307006782888,0.07836929932171119,0.9761413495810163,0.023858650418983662,1.0
15,289706,C1S7,1,1,stable,1,0.9875372762542295,0.03904612288977172,1.666148343793732,0.21268,0.040413051312019874,0.012987591966325152,0.9217292098443924,0.07827079015560766,0.9776651216946909,0.022334878305309055,1.0
16,305658,C1S7,1,1,stable,1,0.9879373215451577,0.03904612288977172,1.6895335094143586,0.21268,0.03209934674704734,0.01246272374577051,0.9218042156844466,0.07819578431555338,0.9789549268726208,0.02104507312737917,1.0
17,312016,C1S7,1,1,stable,1,0.9882613141774579,0.03904612288977172,1.7105801584729228,0.21268,0.02685909547477907,0.012062678454842324,0.921864913938716,0.07813508606128407,0.9800532446808152,0.019946755319184745,1.0
