,time_step,outcome_type,outcome,stimulus,stage,exp_outcome,go_Q_lick,go_Q_nolick,nogo_Q_lick,nogo_Q_nolick,go_Q_lick_ql,go_Q_nolick_ql,nogo_Q_lick_ql,nogo_Q_nolick_ql,alpha,Q_PE,go_P_lick,go_P_nolick,go_P_lick_ql,go_P_nolick_ql,nogo_P_lick,nogo_P_nolick,nogo_P_lick_ql,nogo_P_nolick_ql,motivation
0,[330049],C1S7,1,1,stable,1,0.98,0.028,0.028,0.028,0.98,0.028,0.028,0.028,0.1,0.0,0.8903576957891818,0.10964230421081814,0.8903576957891818,0.10964230421081812,0.5,0.5,0.5,0.5,1.0
1,[335767],C1S7,1,1,stable,1,0.9813999999999999,0.028,0.028,0.028,1.072,0.028,0.028,0.028,0.07,0.020000000000000018,0.89065800676494,0.10934199323506,0.9086116693859071,0.09138833061409288,0.5,0.5,0.5,0.5,1.0
2,[344659],C1S9,3,0,stable,2,0.98235418,0.028,0.028,0.028,1.1548,0.028,0.028,0.028,0.05130000000000003,0.01860000000000006,0.8908622721555489,0.10913772784445101,0.922653611997912,0.077346388002088,0.5,0.5,0.5,0.5,0.0
3,[351097],C1S7,1,1,stable,1,0.98235418,0.028,0.028,0.032325184,1.1548,0.028,0.028,0.1252,0.060072,0.01860000000000006,0.8908622721555489,0.10913772784445101,0.922653611997912,0.077346388002088,0.49762116674885026,0.5023788332511496,0.4467427889619521,0.5532572110380478,1.0
4,[359915],C1S9,3,0,stable,2,0.9830530058213361,0.028,0.028,0.032325184,1.22932,0.028,0.028,0.1252,0.03960291000000003,0.017645820000000034,0.8910116602944488,0.1089883397055512,0.9335722831150648,0.06642771688493516,0.49762116674885026,0.5023788332511496,0.4467427889619521,0.5532572110380478,0.0
5,[367797],C1S9,3,0,stable,2,0.9830530058213361,0.028,0.028,0.03476898080877183,1.22932,0.028,0.028,0.21268,0.036110874816,0.017645820000000034,0.8910116602944488,0.1089883397055512,0.9335722831150648,0.06642771688493516,0.4962771293549512,0.5037228706450488,0.3998006025252057,0.6001993974747943,0.0
6,[372821],C1S7,1,1,stable,1,0.9830530058213361,0.028,0.028,0.036186565395517276,1.22932,0.028,0.028,0.291412,0.021731755908791225,0.017645820000000034,0.8910116602944488,0.1089883397055512,0.9335722831150648,0.06642771688493516,0.4954975107401287,0.5045024892598713,0.35904617892543655,0.6409538210745636,1.0
7,[380841],C1S9,3,0,stable,2,0.9835992962983189,0.028,0.028,0.036186565395517276,1.2963879999999999,0.028,0.028,0.291412,0.03223524308933194,0.016946994178663854,0.8911283159077574,0.10887168409224254,0.9421577692976418,0.05784223070235826,0.4954975107401287,0.5045024892598713,0.35904617892543655,0.6409538210745636,0.0
8,[388159],C1S9,3,0,stable,2,0.9835992962983189,0.028,0.028,0.03702270434066903,1.2963879999999999,0.028,0.028,0.3622708,0.013102866979879217,0.016946994178663854,0.8911283159077574,0.10887168409224254,0.9421577692976418,0.05784223070235826,0.4950376755496909,0.5049623244503091,0.3240117836576698,0.6759882163423302,0.0
9,[394524],C1S7,1,1,stable,1,0.9835992962983189,0.028,0.028,0.037521780357103636,1.2963879999999999,0.028,0.028,0.42604372,0.007924697483586861,0.016946994178663854,0.8911283159077574,0.10887168409224254,0.9421577692976418,0.05784223070235826,0.49476321230070364,0.5052367876992964,0.294070428513166,0.705929571486834,1.0
10,[404004],C1S8,2,1,stable,2,0.9840509962416699,0.028,0.028,0.037521780357103636,1.3567491999999999,0.028,0.028,0.42604372,0.027541497704439723,0.01640070370168112,0.8912246897329814,0.1087753102670185,0.9489837874841484,0.051016212515851755,0.49476321230070364,0.5052367876992964,0.294070428513166,0.705929571486834,0.0
11,[412603],C1S9,3,0,stable,2,0.9840509962416699,0.0317817927008318,0.028,0.037521780357103636,1.3567491999999999,0.1252,0.028,0.42604372,0.05252489862266384,0.07200000000000001,0.8904154981683562,0.10958450183164384,0.9375795253301051,0.0624204746698949,0.49476321230070364,0.5052367876992964,0.294070428513166,0.705929571486834,0.0
12,[418551],C1S7,1,1,stable,1,0.9840509962416699,0.0317817927008318,0.028,0.03782275647902321,1.3567491999999999,0.1252,0.028,0.483439348,0.004817296709795013,0.07200000000000001,0.8904154981683562,0.10958450183164384,0.9375795253301051,0.0624204746698949,0.49459769417232974,0.5054023058276703,0.26855494684096376,0.7314450531590363,1.0
13,[427682],C1S8,2,1,stable,2,0.9846808134854348,0.0317817927008318,0.028,0.03782275647902321,1.4110742799999998,0.1252,0.028,0.483439348,0.03948944105276334,0.015949003758330083,0.8905506257905447,0.1094493742094553,0.9442189259912339,0.05578107400876619,0.49459769417232974,0.5054023058276703,0.26855494684096376,0.7314450531590363,0.0
14,[434963],C1S9,3,0,stable,2,0.9846808134854348,0.035724993929907356,0.028,0.03782275647902321,1.4110742799999998,0.21268,0.028,0.483439348,0.0578027682812421,0.06821820729916821,0.8897021983796917,0.11029780162030837,0.9331720021817178,0.06682799781828222,0.49459769417232974,0.5054023058276703,0.26855494684096376,0.7314450531590363,0.0
15,[443816],C1S9,3,0,stable,2,0.9846808134854348,0.035724993929907356,0.028,0.03800633822701771,1.4110742799999998,0.21268,0.028,0.5350954132,0.0029525552693979848,0.06821820729916821,0.8897021983796917,0.11029780162030837,0.9331720021817178,0.06682799781828222,0.49449673621977974,0.5055032637802203,0.24682650803967107,0.753173491960329,0.0
16,[452073],C1S8,2,1,stable,2,0.9846808134854348,0.035724993929907356,0.028,0.03812000526875999,1.4110742799999998,0.21268,0.028,0.58158587188,0.001833526823411773,0.06821820729916821,0.8897021983796917,0.11029780162030837,0.9331720021817178,0.06682799781828222,0.4944342270066937,0.5055657729933063,0.22830817512944845,0.7716918248705514,0.0
17,[459277],C1S9,3,0,stable,2,0.9846808134854348,0.04001979610184958,0.028,0.03812000526875999,1.4110742799999998,0.291412,0.028,0.58158587188,0.06681916400379159,0.06427500607009265,0.8887715701963311,0.11122842980366895,0.9215255215684185,0.07847447843158145,0.4944342270066937,0.5055657729933063,0.22830817512944845,0.7716918248705514,0.0
18,[467047],C1S8,2,1,stable,2,0.9846808134854348,0.04001979610184958,0.028,0.03819190958061131,1.4110742799999998,0.291412,0.028,0.623427284692,0.0011619960887783037,0.06427500607009265,0.8887715701963311,0.11122842980366895,0.9215255215684185,0.07847447843158145,0.49439468457043984,0.5056053154295602,0.21249688006200992,0.78750311993799,0.0
19,[475376],C1S9,3,0,stable,2,0.9846808134854348,0.04422330478043225,0.028,0.03819190958061131,1.4110742799999998,0.3622708,0.028,0.623427284692,0.07008160035135017,0.059980203898150425,0.8878540794465861,0.11214592055341381,0.9094853896775175,0.09051461032248256,0.49439468457043984,0.5056053154295602,0.21249688006200992,0.78750311993799,0.0
20,[484217],C1S9,3,0,stable,2,0.9846808134854348,0.04422330478043225,0.028,0.038238822276245914,1.4110742799999998,0.3622708,0.028,0.6610845562228,0.0007590057436863708,0.059980203898150425,0.8878540794465861,0.11214592055341381,0.9094853896775175,0.09051461032248256,0.49436888584553645,0.5056311141544636,0.1989633564912056,0.8010366435087944,0.0
21,[492665],C1S9,3,0,stable,2,0.9846808134854348,0.04422330478043225,0.028,0.038270762972497235,1.4110742799999998,0.3622708,0.028,0.6949761006005201,0.0005171646239355766,0.059980203898150425,0.8878540794465861,0.11214592055341381,0.9094853896775175,0.09051461032248256,0.4943513206977639,0.5056486793022361,0.1873461277030902,0.8126538722969098,0.0
22,[499492],C1S7,1,1,stable,1,0.9846808134854348,0.04422330478043225,0.028,0.03829372797779313,1.4110742799999998,0.3622708,0.028,0.7254784905404681,0.0003720280113888487,0.059980203898150425,0.8878540794465861,0.11214592055341381,0.9094853896775175,0.09051461032248256,0.49433869156052496,0.505661308439475,0.17734313950647987,0.82265686049352,1.0
23,[507793],C1S8,2,1,stable,2,0.9854423080873818,0.04422330478043225,0.028,0.03829372797779313,1.4599668519999998,0.3622708,0.028,0.7254784905404681,0.0497085534680927,0.015319186514565208,0.8880207782123637,0.11197922178763621,0.917958827493531,0.082041172506469,0.49433869156052496,0.505661308439475,0.17734313950647987,0.82265686049352,0.0
24,[516254],C1S9,3,0,stable,2,0.9854423080873818,0.04744237194719776,0.028,0.03829372797779313,1.4599668519999998,0.42604372,0.028,0.7254784905404681,0.057713479690639495,0.055776695219567754,0.8873146126556839,0.11268538734431603,0.9067540729717884,0.09324592702821144,0.49433869156052496,0.505661308439475,0.17734313950647987,0.82265686049352,0.0
25,[525063],C1S9,3,0,stable,2,0.9854423080873818,0.04744237194719776,0.028,0.03831130951880239,1.4599668519999998,0.42604372,0.028,0.7529306414864213,0.00028492307885551605,0.055776695219567754,0.8873146126556839,0.11268538734431603,0.9067540729717884,0.09324592702821144,0.49432902295477865,0.5056709770452212,0.1687029927094038,0.8312970072905961,0.0
26,[531697],C1S7,1,1,stable,1,0.9854423080873818,0.04744237194719776,0.028,0.03832566093230916,1.4599668519999998,0.42604372,0.028,0.7776375773377792,0.00023264253779450725,0.055776695219567754,0.8873146126556839,0.11268538734431603,0.9067540729717884,0.09324592702821144,0.4943211306941544,0.5056788693058457,0.16121674010401915,0.8387832598959808,1.0
27,[537176],C1S7,1,1,stable,1,0.986052376318218,0.04744237194719776,0.028,0.03832566093230916,1.5039701667999998,0.42604372,0.028,0.7776375773377792,0.041906933770692815,0.014557691912618242,0.8874487409984059,0.11255125900159411,0.9146232317739545,0.08537676822604547,0.4943211306941544,0.5056788693058457,0.16121674010401915,0.8387832598959808,1.0
28,[546986],C1S9,3,0,stable,2,0.9865003457065369,0.04744237194719776,0.028,0.03832566093230916,1.5435731501199998,0.42604372,0.028,0.7776375773377792,0.032117972103306705,0.01394762368178204,0.8875471418410944,0.11245285815890572,0.9211855224246974,0.07881447757530263,0.4943211306941544,0.5056788693058457,0.16121674010401915,0.8387832598959808,0.0
29,[553563],C1S7,1,1,stable,1,0.9865003457065369,0.04744237194719776,0.028,0.0383380735012631,1.5435731501199998,0.42604372,0.028,0.7998738196040013,0.0002012598617443952,0.01394762368178204,0.8875471418410944,0.11245285815890572,0.9211855224246974,0.07881447757530263,0.4943143046629483,0.5056856953370517,0.1547106491523435,0.8452893508476564,1.0
30,[562270],C1S9,3,0,stable,2,0.9868516149515595,0.04744237194719776,0.028,0.0383380735012631,1.579215835108,0.42604372,0.028,0.7998738196040013,0.02602061040871558,0.013499654293463115,0.8876242489936419,0.11237575100635822,0.9266938437682578,0.07330615623174225,0.4943143046629483,0.5056856953370517,0.1547106491523435,0.8452893508476564,0.0
31,[567899],C1S7,1,1,stable,1,0.9868516149515595,0.04744237194719776,0.028,0.038349321736923854,1.579215835108,0.42604372,0.028,0.8198864376436011,0.00018241784354537403,0.013499654293463115,0.8876242489936419,0.11237575100635822,0.9266938437682578,0.07330615623174225,0.49430811893417653,0.5056918810658234,0.1490400297833321,0.8509599702166678,1.0
32,[575360],C1S9,3,0,stable,2,0.9871433323691601,0.04744237194719776,0.028,0.038349321736923854,1.6112942515972,0.42604372,0.028,0.8198864376436011,0.022186558769449603,0.013148385048440514,0.8876882488156455,0.11231175118435456,0.9313459817750631,0.06865401822493691,0.49430811893417653,0.5056918810658234,0.1490400297833321,0.8509599702166678,0.0
33,[583097],C1S9,3,0,stable,2,0.9871433323691601,0.04744237194719776,0.028,0.03835987025332327,1.6112942515972,0.42604372,0.028,0.837897793879241,0.00017110138439030057,0.013148385048440514,0.8876882488156455,0.11231175118435456,0.9313459817750631,0.06865401822493691,0.4943023180027638,0.5056976819972361,0.14408407783146424,0.8559159221685357,0.0
34,[588222],C1S7,1,1,stable,1,0.9871433323691601,0.04744237194719776,0.028,0.03836999778583865,1.6112942515972,0.42604372,0.028,0.8541080144913169,0.00016430096038085707,0.013148385048440514,0.8876882488156455,0.11231175118435456,0.9313459817750631,0.06865401822493691,0.4942967485838948,0.5057032514161052,0.13974162097229548,0.8602583790277045,1.0
35,[596185],C1S9,3,0,stable,2,0.9873971264476276,0.04744237194719776,0.028,0.03836999778583865,1.64016482643748,0.42604372,0.028,0.8541080144913169,0.01974026907708972,0.012856667630839924,0.8877439027440372,0.1122560972559628,0.9352975976911342,0.06470240230886588,0.4942967485838948,0.5057032514161052,0.13974162097229548,0.8602583790277045,0.0
36,[601430],C1S7,1,1,stable,1,0.9873971264476276,0.04744237194719776,0.028,0.0383798715641428,1.64016482643748,0.42604372,0.028,0.8686972130421852,0.00016021057844267558,0.012856667630839924,0.8877439027440372,0.1122560972559628,0.9352975976911342,0.06470240230886588,0.49429131871306375,0.5057086812869364,0.13592763545292078,0.8640723645470791,1.0
37,[607702],C1S7,1,1,stable,1,0.9876258131275572,0.04744237194719776,0.028,0.0383798715641428,1.666148343793732,0.42604372,0.028,0.8686972130421852,0.01814559822244005,0.01260287355237244,0.8877940302924902,0.11220596970750978,0.938672032846071,0.06132796715392898,0.49429131871306375,0.5057086812869364,0.13592763545292078,0.8640723645470791,1.0
38,[617054],C1S9,3,0,stable,2,0.9878370955919242,0.04744237194719776,0.028,0.0383798715641428,1.6895335094143586,0.42604372,0.028,0.8686972130421852,0.017074452369685453,0.01237418687244285,0.88784032549987,0.11215967450012998,0.9415677057108527,0.05843229428914731,0.49429131871306375,0.5057086812869364,0.13592763545292078,0.8640723645470791,0.0
39,[625689],C1S9,3,0,stable,2,0.9878370955919242,0.04744237194719776,0.028,0.0383895919222235,1.6895335094143586,0.42604372,0.028,0.8818274917379667,0.00015774647550146256,0.01237418687244285,0.88784032549987,0.11215967450012998,0.9415677057108527,0.05843229428914731,0.49428597321368184,0.5057140267863182,0.13257040562173564,0.8674295943782643,0.0
40,[633773],C1S9,3,0,stable,2,0.9878370955919242,0.04744237194719776,0.028,0.038399219059444094,1.6895335094143586,0.42604372,0.028,0.89364474256417,0.00015625829337865405,0.01237418687244285,0.88784032549987,0.11215967450012998,0.9415677057108527,0.05843229428914731,0.49428067898037087,0.5057193210196291,0.1296092116757578,0.8703907883242421,0.0
41,[642716],C1S7,1,1,stable,1,0.9878370955919242,0.04744237194719776,0.028,0.03840878909539692,1.6895335094143586,0.42604372,0.028,0.904280268307753,0.00015535575696774834,0.01237418687244285,0.88784032549987,0.11215967450012998,0.9415677057108527,0.05843229428914731,0.494275416149923,0.505724583850077,0.1269924475600381,0.8730075524399619,1.0
42,[651764],C1S9,3,0,stable,2,0.9880356686729399,0.04744237194719776,0.028,0.03840878909539692,1.7105801584729228,0.42604372,0.028,0.904280268307753,0.016326123625849155,0.01216290440807577,0.8878838206744045,0.1121161793255956,0.94406370344563,0.055936296554370074,0.494275416149923,0.505724583850077,0.1269924475600381,0.8730075524399619,0.0
43,[656984],C1S7,1,1,stable,1,0.9880356686729399,0.04744237194719776,0.028,0.0384183237021732,1.7105801584729228,0.42604372,0.028,0.9138522414769776,0.0001548046650852521,0.01216290440807577,0.8878838206744045,0.1121161793255956,0.94406370344563,0.055936296554370074,0.49427017280423186,0.5057298271957682,0.12467608730875865,0.8753239126912413,1.0
