,time_step,outcome_type,stimulus,outcome,stage,exp_outcome,go_Q_lick,go_Q_nolick,nogo_Q_lick,nogo_Q_nolick,go_Q_lick_ql,go_Q_nolick_ql,nogo_Q_lick_ql,nogo_Q_nolick_ql,alpha,Q_PE,go_P_lick,go_P_nolick,go_P_lick_ql,go_P_nolick_ql,nogo_P_lick,nogo_P_nolick,nogo_P_lick_ql,nogo_P_nolick_ql,motivation
0,37508,C1S9,0,3,stable,2,0.98,0.028,0.028,0.028,0.98,0.028,0.028,0.028,0.1,0.0,0.9223848568596639,0.07761514314033609,0.922384856859664,0.07761514314033606,0.5,0.5,0.5,0.5,0.0
1,46364,C1S8,1,2,stable,2,0.98,0.028,0.028,0.032325184,0.98,0.028,0.028,0.1252,0.060072,0.0,0.9223848568596639,0.07761514314033609,0.922384856859664,0.07761514314033606,0.4971886600269591,0.502811339973041,0.4371541280259388,0.5628458719740612,0.0
2,68304,C1S7,1,1,stable,1,0.98,0.0332992,0.028,0.032325184,0.98,0.1252,0.028,0.1252,0.0736,0.07200000000000001,0.9213927232274601,0.07860727677253997,0.9022501371732556,0.0977498628267444,0.4971886600269591,0.502811339973041,0.4371541280259388,0.5628458719740612,1.0
3,76312,C1S7,1,1,stable,1,0.9810504,0.0332992,0.028,0.032325184,1.072,0.1252,0.028,0.1252,0.05252,0.020000000000000018,0.9215902999624449,0.07840970003755515,0.921411401871588,0.07858859812841193,0.4971886600269591,0.502811339973041,0.4371541280259388,0.5628458719740612,1.0
4,83647,C1S7,1,1,stable,1,0.981765017461408,0.0332992,0.028,0.032325184,1.1548,0.1252,0.028,0.1252,0.03771148,0.01894960000000001,0.9217244573143571,0.07827554268564288,0.9356533390616789,0.064346660938321,0.4971886600269591,0.502811339973041,0.4371541280259388,0.5628458719740612,1.0
5,91357,C1S9,0,3,stable,2,0.9822630109163303,0.0332992,0.028,0.032325184,1.22932,0.1252,0.028,0.1252,0.0273097851269296,0.018234982538592015,0.921817822946651,0.07818217705334898,0.9463794901678261,0.05362050983217389,0.4971886600269591,0.502811339973041,0.4371541280259388,0.5628458719740612,0.0
6,100230,C1S9,0,3,stable,2,0.9822630109163303,0.0332992,0.028,0.03476898080877183,1.22932,0.1252,0.028,0.21268,0.036110874816,0.018234982538592015,0.921817822946651,0.07818217705334898,0.9463794901678261,0.05362050983217389,0.49560027603686596,0.504399723963134,0.38221245526199965,0.6177875447380003,0.0
7,108472,C1S9,0,3,stable,2,0.9822630109163303,0.0332992,0.028,0.036186565395517276,1.22932,0.1252,0.028,0.291412,0.021731755908791225,0.018234982538592015,0.921817822946651,0.07818217705334898,0.9463794901678261,0.05362050983217389,0.49467893338569774,0.5053210666143022,0.3351749698376708,0.6648250301623292,0.0
8,116042,C1S9,0,3,stable,2,0.9822630109163303,0.0332992,0.028,0.03702270434066903,1.22932,0.1252,0.028,0.3622708,0.013102866979879217,0.018234982538592015,0.921817822946651,0.07818217705334898,0.9463794901678261,0.05362050983217389,0.49413551112456316,0.5058644888754368,0.2954407585083327,0.7045592414916674,0.0
9,124185,C1S9,0,3,stable,2,0.9822630109163303,0.0332992,0.028,0.037521780357103636,1.22932,0.1252,0.028,0.42604372,0.007924697483586861,0.018234982538592015,0.921817822946651,0.07818217705334898,0.9463794901678261,0.05362050983217389,0.4938111588549066,0.5061888411450934,0.2621325959493853,0.7378674040506147,0.0
