,time_step,outcome_type,outcome,stimulus,stage,exp_outcome,go_Q_lick,go_Q_nolick,nogo_Q_lick,nogo_Q_nolick,go_Q_lick_ql,go_Q_nolick_ql,nogo_Q_lick_ql,nogo_Q_nolick_ql,alpha,Q_PE,go_P_lick,go_P_nolick,go_P_lick_ql,go_P_nolick_ql,nogo_P_lick,nogo_P_nolick,nogo_P_lick_ql,nogo_P_nolick_ql,motivation
0,[489038],C1S6,1,1,stable,1,0.98,0.028,0.028,0.028,0.98,0.028,0.028,0.028,0.1,0.0,0.9152894342692642,0.0847105657307358,0.9152894342692642,0.08471056573073579,0.5,0.5,0.5,0.5,1.0
1,[497397],C1S6,1,1,stable,1,0.9817468,0.028,0.028,0.028,1.072,0.028,0.028,0.028,0.08734000000000001,0.020000000000000018,0.9156274147540416,0.08437258524595834,0.9315023962756739,0.06849760372432608,0.5,0.5,0.5,0.5,1.0
2,[519785],C1S9,3,0,stable,2,0.9831394480528342,0.028,0.028,0.028,1.1548,0.028,0.028,0.028,0.07629610440000001,0.01825319999999997,0.9158959943995125,0.08410400560048734,0.9435875886199012,0.056412411380098726,0.5,0.5,0.5,0.5,0.0
3,[546483],C1S9,3,0,stable,2,0.9831394480528342,0.028,0.028,0.032325184,1.1548,0.028,0.028,0.1252,0.060072,0.01825319999999997,0.9158959943995125,0.08410400560048734,0.9435875886199012,0.056412411380098726,0.49729678633828384,0.5027032136617161,0.43954718086250183,0.5604528191374981,0.0
4,[565674],C1S9,3,0,stable,2,0.9831394480528342,0.028,0.028,0.03476898080877183,1.1548,0.028,0.028,0.21268,0.036110874816,0.01825319999999997,0.9158959943995125,0.08410400560048734,0.9435875886199012,0.056412411380098726,0.49576948795146264,0.5042305120485374,0.38658261417088374,0.6134173858291162,0.0
5,[574276],C1S6,1,1,stable,1,0.9831394480528342,0.028,0.028,0.036186565395517276,1.1548,0.028,0.028,0.291412,0.021731755908791225,0.01825319999999997,0.9158959943995125,0.08410400560048734,0.9435875886199012,0.056412411380098726,0.49488357522136556,0.5051164247786345,0.3410699039239457,0.6589300960760542,1.0
6,[586646],C1S9,3,0,stable,2,0.9842634439379317,0.028,0.028,0.036186565395517276,1.22932,0.028,0.028,0.291412,0.06666424021110183,0.016860551947165847,0.916112196563625,0.08388780343637497,0.9527229873420693,0.04727701265793066,0.49488357522136556,0.5051164247786345,0.3410699039239457,0.6589300960760542,0.0
7,[597638],C1S9,3,0,stable,2,0.9842634439379317,0.028,0.028,0.03702270434066903,1.22932,0.028,0.028,0.3622708,0.013102866979879217,0.016860551947165847,0.916112196563625,0.08388780343637497,0.9527229873420693,0.04727701265793066,0.4943610488800874,0.5056389511199126,0.30244603816800614,0.6975539618319938,0.0
8,[605742],C1S6,1,1,stable,1,0.9842634439379317,0.028,0.028,0.037521780357103636,1.22932,0.028,0.028,0.42604372,0.007924697483586861,0.016860551947165847,0.916112196563625,0.08388780343637497,0.9527229873420693,0.04727701265793066,0.4940491682783228,0.5059508317216773,0.26990407727102284,0.7300959227289772,1.0
9,[615622],C1S9,3,0,stable,2,0.9851803408357485,0.028,0.028,0.037521780357103636,1.2963879999999999,0.028,0.028,0.42604372,0.05826541043671375,0.015736556062068252,0.9162881889030313,0.08371181109696868,0.9597270927707439,0.04027290722925606,0.4940491682783228,0.5059508317216773,0.26990407727102284,0.7300959227289772,0.0
