,time_step,outcome_type,stimulus,outcome,stage,exp_outcome,go_Q_lick,go_Q_nolick,nogo_Q_lick,nogo_Q_nolick,go_Q_lick_ql,go_Q_nolick_ql,nogo_Q_lick_ql,nogo_Q_nolick_ql,alpha,Q_PE,go_P_lick,go_P_nolick,go_P_lick_ql,go_P_nolick_ql,nogo_P_lick,nogo_P_nolick,nogo_P_lick_ql,nogo_P_nolick_ql,motivation
0,43738,C1S10,0,4,stable,1,0.98,0.028,0.028,0.028,0.98,0.028,0.98,0.028,0.1,0.0,0.9456280030042418,0.05437199699575809,0.9456280030042419,0.0543719969957581,0.5,0.5,0.9456280030042419,0.05437199699575811,1.0
1,77315,C1S10,0,4,stable,1,0.98,0.028,-0.0865192,0.028,0.98,0.028,0.872,0.028,0.1114,0.0,0.9456280030042418,0.05437199699575809,0.9456280030042419,0.0543719969957581,0.4149455531608657,0.5850544468391344,0.9263549127742438,0.07364508722575626,1.0
2,101627,C1S7,1,1,stable,1,0.98,0.028,-0.189298615270432,0.028,0.98,0.028,0.7747999999999999,0.028,0.11251404,0.0,0.9456280030042418,0.05437199699575809,0.9456280030042419,0.0543719969957581,0.34256244006662284,0.6574375599333772,0.9038192359162749,0.09618076408372507,1.0
3,110092,C1S7,1,1,stable,1,0.9812799999999999,0.028,-0.189298615270432,0.028,1.072,0.028,0.7747999999999999,0.028,0.064,0.020000000000000018,0.9458251017069578,0.05417489829304222,0.9581935836809882,0.041806416319011844,0.34256244006662284,0.6574375599333772,0.9038192359162749,0.09618076408372507,1.0
4,118607,C1S10,0,4,stable,1,0.98206893568,0.028,-0.189298615270432,0.028,1.1548,0.028,0.7747999999999999,0.028,0.04214400000000001,0.01872000000000007,0.9459462489602928,0.05405375103970713,0.9670863397214402,0.03291366027855974,0.34256244006662284,0.6574375599333772,0.9038192359162749,0.09618076408372507,1.0
5,150670,C1S7,1,1,stable,1,0.98206893568,0.028,-0.27688962484826474,0.028,1.1548,0.028,0.6873199999999999,0.028,0.1080434932364784,0.01872000000000007,0.9459462489602928,0.05405375103970713,0.9670863397214402,0.03291366027855974,0.28604539200637724,0.7139546079936228,0.8784635288819609,0.12153647111803915,1.0
6,165992,C1S9,0,3,stable,2,0.9825866523583509,0.028,-0.27688962484826474,0.028,1.22932,0.028,0.6873199999999999,0.028,0.02887261286400001,0.017931064320000023,0.9460256095566117,0.05397439044338815,0.9735053372425844,0.026494662757415577,0.28604539200637724,0.7139546079936228,0.8784635288819609,0.12153647111803915,0.0
7,171099,C1S7,1,1,stable,1,0.9825866523583509,0.028,-0.27688962484826474,0.032926678907815865,1.22932,0.028,0.6873199999999999,0.1252,0.06842609594188705,0.017931064320000023,0.9460256095566117,0.05397439044338815,0.9735053372425844,0.026494662757415577,0.2830365318369585,0.7169634681630415,0.8437448644507841,0.15625513554921594,1.0
8,184539,C1S9,0,3,stable,2,0.9829489586006428,0.028,-0.27688962484826474,0.032926678907815865,1.2963879999999999,0.028,0.6873199999999999,0.1252,0.020806237246729833,0.017413347641649146,0.9460810819847321,0.0539189180152679,0.9782289790226176,0.021771020977382316,0.2830365318369585,0.7169634681630415,0.8437448644507841,0.15625513554921594,0.0
9,191647,C1S9,0,3,stable,2,0.9829489586006428,0.028,-0.27688962484826474,0.0359053597304495,1.2963879999999999,0.028,0.6873199999999999,0.21268,0.04440932361974143,0.017413347641649146,0.9460810819847321,0.0539189180152679,0.9782289790226176,0.021771020977382316,0.2812266898120092,0.7187733101879907,0.8059522132823778,0.1940477867176222,0.0
10,214266,C1S9,0,3,stable,2,0.9829489586006428,0.028,-0.27688962484826474,0.037818605649226476,1.2963879999999999,0.028,0.6873199999999999,0.291412,0.029850326185322386,0.017413347641649146,0.9460810819847321,0.0539189180152679,0.9782289790226176,0.021771020977382316,0.2800679275717054,0.7199320724282945,0.7663337563368715,0.23366624366312846,0.0
11,222323,C1S9,0,3,stable,2,0.9829489586006428,0.028,-0.27688962484826474,0.03912561288181405,1.2963879999999999,0.028,0.6873199999999999,0.3622708,0.021019265428732108,0.017413347641649146,0.9460810819847321,0.0539189180152679,0.9782289790226176,0.021771020977382316,0.2792780146236415,0.7207219853763586,0.7261443337905485,0.27385566620945145,0.0
12,230579,C1S9,0,3,stable,2,0.9829489586006428,0.028,-0.27688962484826474,0.040078618372553915,1.2963879999999999,0.028,0.6873199999999999,0.42604372,0.01565527861314856,0.017413347641649146,0.9460810819847321,0.0539189180152679,0.9782289790226176,0.021771020977382316,0.27870290993738134,0.7212970900626188,0.6865047293616083,0.3134952706383916,0.0
13,238718,C1S10,0,4,stable,1,0.9829489586006428,0.028,-0.27688962484826474,0.0408209985259185,1.2963879999999999,0.028,0.6873199999999999,0.483439348,0.012389236249261441,0.017413347641649146,0.9460810819847321,0.0539189180152679,0.9782289790226176,0.021771020977382316,0.27825541397813264,0.7217445860218673,0.6483152633965998,0.35168473660340016,1.0
14,255022,C1S9,0,3,stable,2,0.9829489586006428,0.028,-0.30840932674409705,0.0408209985259185,1.2963879999999999,0.028,0.6085879999999999,0.483439348,0.043589060507143625,0.017413347641649146,0.9460810819847321,0.0539189180152679,0.9782289790226176,0.021771020977382316,0.25966874328840633,0.7403312567115937,0.5927742550352062,0.40722574496479386,0.0
