,time_step,outcome_type,stimulus,outcome,stage,exp_outcome,Q_lick,Q_nolick,Q_lick_ql,Q_nolick_ql,alpha,Q_PE,P_lick,P_nolick,P_lick_ql,P_nolick_ql,motivation
0,108131,C1S7,1,1,stable,1,0.98,0.028,0.98,0.028,0.1,0.0,0.9456280030042419,0.05437199699575812,0.9456280030042419,0.054371996995758114,1.0
1,120492,C1S7,1,1,stable,1,0.98144,0.028,1.072,0.028,0.07200000000000001,0.020000000000000018,0.9458496916341087,0.054150308365891374,0.9581935836809882,0.04180641631901185,1.0
2,143258,C1S7,1,1,stable,1,0.98244847616,0.028,1.1548,0.028,0.054336000000000016,0.01856000000000002,0.9460044393336439,0.05399556066635614,0.9670863397214403,0.03291366027855975,1.0
3,150547,C1S7,1,1,stable,1,0.9832055175130858,0.028,1.22932,0.028,0.04313251430400002,0.017551523840000027,0.9461203310015257,0.05387966899847428,0.9735053372425845,0.026494662757415577,1.0
4,162322,C1S7,1,1,stable,1,0.9838093832519449,0.028,1.2963879999999999,0.028,0.035956198074548515,0.016794482486914175,0.9462126055586172,0.053787394441382766,0.9782289790226177,0.021771020977382316,1.0
5,260750,C1S7,1,1,stable,1,0.9843159567079997,0.028,1.3567491999999999,0.028,0.031288088893562174,0.01619061674805511,0.94628989825065,0.053710101749350043,0.9817692683943753,0.018230731605624693,1.0
6,268330,C1S7,1,1,stable,1,0.9847579844808292,0.028,1.4110742799999998,0.028,0.028183279311337513,0.01568404329200035,0.9463572569946089,0.05364274300539099,0.9844683648046134,0.01553163519538649,1.0
7,279024,C1S7,1,1,stable,1,0.9851551178914679,0.028,1.4599668519999998,0.028,0.026055176898304996,0.015242015519170815,0.9464177065110166,0.05358229348898343,0.9865588297628946,0.013441170237105426,1.0
8,308530,C1S7,1,1,stable,1,0.9855194118239811,0.028,1.5039701667999998,0.028,0.02454003540410224,0.014844882108532076,0.9464731008612418,0.0535268991387582,0.9882014566369663,0.01179854336303357,1.0
9,315471,C1S7,1,1,stable,1,0.9858584367722422,0.028,1.5435731501199998,0.028,0.023412374148072707,0.014480588176018938,0.9465246042813463,0.05347539571865377,0.9895092941564886,0.010490705843511354,1.0
10,334859,C1S7,1,1,stable,1,0.9861770796001531,0.028,1.579215835108,0.028,0.022532362425498324,0.014141563227757836,0.9465729686972237,0.05342703130277628,0.9905631137638526,0.009436886236147336,1.0
11,350091,C1S7,1,1,stable,1,0.9864786013085183,0.028,1.6112942515972,0.028,0.02181316969520713,0.013822920399846894,0.9466186964176316,0.05338130358236839,0.9914215174858861,0.008578482514113858,1.0
12,375546,C1S7,1,1,stable,1,0.9867652649805669,0.028,1.64016482643748,0.028,0.02120074103201331,0.013521398691481723,0.9466621365725482,0.053337863427451795,0.9921276446968642,0.007872355303135774,1.0
13,389835,C1S7,1,1,stable,1,0.9870387116210523,0.028,1.666148343793732,0.028,0.020661285630867825,0.013234735019433064,0.9467035427693329,0.05329645723066717,0.9927136898715455,0.0072863101284544,1.0
14,405846,C1S7,1,1,stable,1,0.9873001867477225,0.028,1.6895335094143586,0.028,0.020173544405889327,0.012961288378947722,0.9467431078272206,0.05325689217277946,0.9932039908947685,0.006796009105231394,1.0
