,start_time,end_time,choice_type,reward_type,outcome,exp_outcome,Q_CP,Q_CG,Q_PE,epsilon,P_CP,P_CG,P_CP_sf,P_CG_sf,motivation
0,2.852,5.912,2.0,1.0,4,2,0.01208862379084969,0.013088652418300843,0.0,0.9994472213630764,0.49999975124255946,0.5000002487574405,0.49954998723915744,0.5004500127608426,-1.0
1,13.666,19.768,1.0,1.0,2,1,0.033060981844071004,0.07752078084967336,0.1,0.9975273768433652,0.4999505568372417,0.5000494431627582,0.48000376133921124,0.5199962386607887,1.0
2,25.914,32.442,2.0,1.0,4,2,0.051805167213603454,0.13306278850427364,0.0,0.9994472213630764,0.4999798230929773,0.5000201769070227,0.4634991194033645,0.5365008805966355,-1.0
3,40.178,48.093,2.0,1.0,4,2,0.06843939148818508,0.18087364372046263,0.09,0.9978710602840358,0.49989265156595225,0.5001073484340477,0.44957657408390644,0.5504234259160935,-1.0
4,54.985,59.021,1.0,0.0,1,1,0.08308186625655396,0.22211231483660138,0.171,0.9928608726703552,0.49955566630716436,0.5004443336928357,0.43776078331162527,0.5622392166883747,1.0
5,64.473,64.999,1.0,0.0,1,1,0.09585080310744817,0.2579377701910508,0.18100000000000002,0.9917150894202807,0.49939995616575916,0.5006000438342408,0.4275738912970654,0.5724261087029345,1.0
6,69.515,70.293,1.0,0.0,1,1,0.10686441362960575,0.28950897812217197,0.19,0.9905289564180539,0.4992285106889894,0.5007714893110106,0.4185423122240462,0.5814576877759539,1.0
7,75.693,78.67,2.0,1.0,4,2,0.11624090941176543,0.3179849069683277,0.1981,0.989318467778483,0.49904079699845794,0.5009592030015421,0.4101998681790414,0.5898001318209586,-1.0
8,85.409,87.035,1.0,1.0,2,1,0.11718510052488762,0.34636416009049986,0.271,0.9687806462498568,0.4968252250473101,0.5031747749526899,0.3983074736876844,0.6016925263123156,1.0
9,106.759,107.466,2.0,1.0,4,2,0.11881657619185594,0.37856585710407475,0.17829,0.9920424915616324,0.49908645094363385,0.5009135490563661,0.3851965959644594,0.6148034040355407,-1.0
10,114.983,114.985,2.0,1.0,4,2,0.13152971736905059,0.4037148568325817,0.2439,0.978989528704553,0.49747683762952094,0.5025231623704791,0.3799092921334968,0.6200907078665032,-1.0
11,123.263,125.133,1.0,0.0,1,1,0.14480202783900542,0.4270801666787356,0.302949,0.9505352522426923,0.49384850871525604,0.506151491284744,0.37563888296923176,0.6243611170307682,1.0
12,129.873,130.602,1.0,0.0,1,1,0.15918252089802817,0.4567121166606363,0.31951,0.9374589600212399,0.4918210459862102,0.5081789540137898,0.369222609400683,0.630777390599317,1.0
13,135.422,137.068,2.0,1.0,4,2,0.17025977347981103,0.481152813440727,0.3344149,0.9229966373754145,0.48949968964302565,0.5105003103569744,0.3636382880035183,0.6363617119964816,-1.0
14,143.995,150.289,1.0,1.0,2,1,0.17685177704127714,0.5005366220767452,0.38755900000000004,0.8437784805683648,0.4778676333382391,0.5221323666617609,0.358327029833772,0.6416729701662279,1.0
