,start_time,end_time,choice_type,reward_type,outcome,exp_outcome,Q_CP,Q_CG,Q_PE,epsilon,P_CP,P_CG,P_CP_sf,P_CG_sf,motivation
0,2.19,2.191,1.0,0.0,1,1,-0.00991845882352962,0.0008199973856206838,0.0,0.9426758241011313,0.49944605314924523,0.5005539468507547,0.4903365928586217,0.5096634071413784,1.0
1,7.46,7.464,2.0,1.0,4,2,-0.0006055554621850028,0.02577595466853397,0.0,0.9426758241011313,0.49863995364811153,0.5013600463518885,0.4762744717989867,0.5237255282010134,-1.0
2,14.158,15.626,1.0,0.0,1,1,0.014743658015513831,0.05641342062414708,0.1,0.8909031788043871,0.4959162205771004,0.5040837794228996,0.46256738392425484,0.5374326160757451,1.0
3,21.488,21.579,1.0,1.0,2,1,0.034616705365222995,0.09164359384471742,0.1,0.8909031788043871,0.4944202764970324,0.5055797235029676,0.44885530630665177,0.5511446936933482,1.0
4,28.384,28.63,2.0,1.0,4,2,0.0575011103425986,0.13037767292250244,0.0,0.9426758241011313,0.4962615884913567,0.5037384115086433,0.4347847317467139,0.565215268253286,-1.0
5,35.699,35.7,1.0,0.0,1,1,0.08188439670329675,0.17152685644975948,0.09,0.8975229665559027,0.49180334854584823,0.5081966514541517,0.42001474692743573,0.5799852530725642,1.0
6,41.762,42.426,2.0,1.0,4,2,0.10625408820297354,0.21400234301874604,0.1,0.8909031788043871,0.4895511917324241,0.5104488082675759,0.4042244480355579,0.5957755519644421,-1.0
7,48.811,54.152,1.0,1.0,2,1,0.12909770859728587,0.256715331221721,0.18100000000000002,0.8224448260749246,0.4799580351172074,0.5200419648827925,0.38712260848422325,0.6128773915157768,1.0
8,60.302,60.383,2.0,1.0,4,2,0.14628518642534027,0.29525948343891584,0.09000000000000002,0.8975229665559026,0.48658032261432005,0.51341967738568,0.3690469763354285,0.6309530236645716,-1.0
9,77.203,78.08,2.0,1.0,4,2,0.15849094226244437,0.33072238814479843,0.16290000000000004,0.8401977275152692,0.47599352774796566,0.5240064722520343,0.3497738994648643,0.6502261005351356,-1.0
10,95.847,97.028,1.0,0.0,1,1,0.15659273292307785,0.3722289041628982,0.22851000000000005,0.7686012692758368,0.45721899793477816,0.5427810020652218,0.31511997956367993,0.68488002043632,1.0
11,102.485,103.108,1.0,0.0,1,1,0.15238053954027242,0.4089038903167446,0.24661000000000005,0.7453056112908893,0.44504930988059443,0.5549506901194056,0.28424852468121964,0.7157514753187804,1.0
12,107.847,109.653,2.0,1.0,4,2,0.15515105698552129,0.43355481554751396,0.2629,0.7230617361060045,0.4358883989584903,0.5641116010415097,0.2684985810915248,0.7315014189084753,-1.0
13,116.525,118.126,1.0,0.0,1,1,0.15837974244778374,0.4610166252579214,0.32194900000000004,0.63328997488639,0.4089509626877577,0.5910490373122423,0.2517138036135377,0.7482861963864623,1.0
14,123.52,123.773,2.0,1.0,4,2,0.1586753041742272,0.4815016923891433,0.3366100000000001,0.6091474552989755,0.3977030629933006,0.6022969370066995,0.2382723014252099,0.7617276985747902,-1.0
15,130.124,130.125,1.0,0.0,1,1,0.1538730423863267,0.499752123603623,0.3897541000000001,0.5179226429013243,0.3667240627006436,0.6332759372993564,0.2235382758869624,0.7764617241130376,1.0
16,135.151,135.676,1.0,1.0,2,1,0.15708717242976383,0.512919369763804,0.4029490000000001,0.49483943325620705,0.3572318971131399,0.6427681028868601,0.2173807452804028,0.7826192547195973,1.0
17,143.281,143.359,1.0,0.0,1,1,0.16021561835001996,0.5252713268658856,0.3148244100000001,0.6447931175125641,0.3976239733845938,0.6023760266154061,0.21178478891374705,0.7882152110862529,1.0
18,148.845,149.76,2.0,1.0,4,2,0.1636680352737105,0.5408675026473517,0.33551227900000014,0.6109753836468856,0.3850739108741227,0.6149260891258774,0.20457887677328906,0.795421123226711,-1.0
19,155.949,160.464,1.0,0.0,1,1,0.15924721701194863,0.5574005723067817,0.38334196900000017,0.5291185679366235,0.35524018395521195,0.644759816044788,0.19257692873881546,0.8074230712611845,1.0
